tmc,hour,vol.fraction
110+04146,19,0.039906
110+04146,20,0.034596
110+04146,21,0.029995
110+04146,22,0.022462
110+04146,23,0.01654
110+04147,0,0.011676
110+04147,1,0.00924
110+04147,2,0.009372
110+04147,3,0.015838
110+04147,4,0.040158
110+04147,5,0.058972
110+04147,6,0.054401
110+04147,7,0.055288
110+04147,8,0.056906
110+04147,9,0.053673
110+04147,10,0.051419
110+04147,11,0.053167
110+04147,12,0.052663
110+04147,13,0.052512
110+04147,14,0.053209
110+04147,15,0.05523
110+04147,16,0.05796
110+04147,17,0.057516
110+04147,18,0.050002
110+04147,19,0.042846
110+04147,20,0.036251
110+04147,21,0.031245
110+04147,22,0.02344
110+04147,23,0.017017
110+04148,0,0.009243
110+04148,1,0.007985
110+04148,2,0.008446
110+04148,3,0.015836
110+04148,4,0.042469
110+04148,5,0.070563
110+04148,6,0.064971
110+04148,7,0.062827
110+04148,8,0.061619
110+04148,9,0.056378
110+04148,10,0.047614
110+04148,11,0.049338
110+04148,12,0.051698
110+04148,13,0.04931
110+04148,14,0.050813
110+04148,15,0.056677
110+04148,16,0.06339
110+04148,17,0.061951
110+04148,18,0.047162
110+04148,19,0.035816
110+04148,20,0.0288
110+04148,21,0.025024
110+04148,22,0.018699
110+04148,23,0.013374
110+04149,0,0.010862
110+04149,1,0.008401
110+04149,2,0.008447
110+04149,3,0.01422
110+04149,4,0.036577
110+04149,5,0.057514
110+04149,6,0.051677
110+04149,7,0.053556
110+04149,8,0.058725
110+04149,9,0.05644
110+04149,10,0.053808
110+04149,11,0.054996
110+04149,12,0.054343
110+04149,13,0.053874
110+04149,14,0.053555
110+04149,15,0.055711
110+04149,16,0.058149
110+04149,17,0.058061
110+04149,18,0.050987
110+04149,19,0.043111
110+04149,20,0.036272
110+04149,21,0.030982
110+04149,22,0.023347
110+04149,23,0.016387
110+04150,0,0.009398
110+04150,1,0.007587
110+04150,2,0.008406
110+04150,3,0.01573
110+04150,4,0.043521
110+04150,5,0.060691
110+04150,6,0.053256
110+04150,7,0.056484
110+04150,8,0.058587
110+04150,9,0.057381
110+04150,10,0.052425
110+04150,11,0.051832
110+04150,12,0.053825
110+04150,13,0.054627
110+04150,14,0.054656
110+04150,15,0.055619
110+04150,16,0.058365
110+04150,17,0.059736
110+04150,18,0.049333
110+04150,19,0.039437
110+04150,20,0.032595
110+04150,21,0.029681
110+04150,22,0.021958
110+04150,23,0.014865
110+04151,0,0.009398
110+04151,1,0.007587
110+04151,2,0.008406
110+04151,3,0.01573
110+04151,4,0.043521
110+04151,5,0.060691
110+04151,6,0.053256
110+04151,7,0.056484
110+04151,8,0.058587
110+04151,9,0.057381
110+04151,10,0.052425
110+04151,11,0.051832
110+04151,12,0.053825
110+04151,13,0.054627
110+04151,14,0.054656
110+04151,15,0.055619
110+04151,16,0.058365
110+04151,17,0.059736
110+04151,18,0.049333
110+04151,19,0.039437
110+04151,20,0.032595
110+04151,21,0.029681
110+04151,22,0.021958
110+04151,23,0.014865
110+04152,0,0.008949
110+04152,1,0.007427
110+04152,2,0.008547
110+04152,3,0.01497
110+04152,4,0.043433
110+04152,5,0.067403
110+04152,6,0.05584
110+04152,7,0.059281
110+04152,8,0.060367
110+04152,9,0.058365
110+04152,10,0.049173
110+04152,11,0.051848
110+04152,12,0.053303
110+04152,13,0.053618
110+04152,14,0.054671
110+04152,15,0.052063
110+04152,16,0.054417
110+04152,17,0.054042
110+04152,18,0.047982
110+04152,19,0.041768
110+04152,20,0.035113
110+04152,21,0.030095
110+04152,22,0.022602
110+04152,23,0.014722
110+04153,0,0.007645
110+04153,1,0.00611
110+04153,2,0.006877
110+04153,3,0.013092
110+04153,4,0.038898
110+04153,5,0.077878
110+04153,6,0.071042
110+04153,7,0.067541
110+04153,8,0.067908
110+04153,9,0.063135
110+04153,10,0.050563
110+04153,11,0.051125
110+04153,12,0.049717
110+04153,13,0.050829
110+04153,14,0.051196
110+04153,15,0.04965
110+04153,16,0.051368
110+04153,17,0.051181
110+04153,18,0.045782
110+04153,19,0.036412
110+04153,20,0.030792
110+04153,21,0.028104
110+04153,22,0.020228
110+04153,23,0.012931
110+04154,0,0.007645
110+04154,1,0.00611
110+04154,2,0.006877
110+04154,3,0.013092
110+04154,4,0.038898
110+04154,5,0.077878
110+04154,6,0.071042
110+04154,7,0.067541
110+04154,8,0.067908
110+04154,9,0.063135
110+04154,10,0.050563
110+04154,11,0.051125
110+04154,12,0.049717
110+04154,13,0.050829
110+04154,14,0.051196
110+04154,15,0.04965
110+04154,16,0.051368
110+04154,17,0.051181
110+04154,18,0.045782
110+04154,19,0.036412
110+04154,20,0.030792
110+04154,21,0.028104
110+04154,22,0.020228
110+04154,23,0.012931
110+04155,0,0.008448
110+04155,1,0.006215
110+04155,2,0.007199
110+04155,3,0.012785
110+04155,4,0.033226
110+04155,5,0.071806
110+04155,6,0.06717
110+04155,7,0.066604
110+04155,8,0.069392
110+04155,9,0.061495
110+04155,10,0.054183
110+04155,11,0.052821
110+04155,12,0.051783
110+04155,13,0.051749
110+04155,14,0.051833
110+04155,15,0.051774
110+04155,16,0.049025
110+04155,17,0.048523
110+04155,18,0.049118
110+04155,19,0.040852
110+04155,20,0.032129
110+04155,21,0.028825
110+04155,22,0.020284
110+04155,23,0.01276
110+04156,0,0.007696
110+04156,1,0.005815
110+04156,2,0.005651
110+04156,3,0.008804
110+04156,4,0.022635
110+04156,5,0.073006
110+04156,6,0.081259
110+04156,7,0.079692
110+04156,8,0.070217
110+04156,9,0.045664
110+04156,10,0.040611
110+04156,11,0.039353
110+04156,12,0.044998
110+04156,13,0.045379
110+04156,14,0.051732
110+04156,15,0.061262
110+04156,16,0.054128
110+04156,17,0.058079
110+04156,18,0.054909
110+04156,19,0.045591
110+04156,20,0.038318
110+04156,21,0.034869
110+04156,22,0.019108
110+04156,23,0.011224
110+04157,0,0.008018
110+04157,1,0.005799
110+04157,2,0.006354
110+04157,3,0.010828
110+04157,4,0.028727
110+04157,5,0.064741
110+04157,6,0.067235
110+04157,7,0.061972
110+04157,8,0.061561
110+04157,9,0.0596
110+04157,10,0.0567
110+04157,11,0.053918
110+04157,12,0.053584
110+04157,13,0.05426
110+04157,14,0.055762
110+04157,15,0.057408
110+04157,16,0.058319
110+04157,17,0.056578
110+04157,18,0.053025
110+04157,19,0.042323
110+04157,20,0.032064
110+04157,21,0.023915
110+04157,22,0.015721
110+04157,23,0.011585
110+04158,0,0.008018
110+04158,1,0.005799
110+04158,2,0.006354
110+04158,3,0.010828
110+04158,4,0.028727
110+04158,5,0.064741
110+04158,6,0.067235
