TMC,YEAR,lanes
110-04913,2017,2
110-04914,2017,2
110-04904,2017,3
110-04905,2017,3
110-04906,2017,3
110-04907,2017,3
110-04900,2017,2
110-04901,2017,2
110-04902,2017,2
110-04903,2017,2
110+09220,2017,2
110P16072,2017,3
110P05382,2017,3
110P05383,2017,3
110P05380,2017,3
110P05381,2017,3
110P05399,2017,2
110P05397,2017,2
110P05398,2017,2
110P05395,2017,2
110P05396,2017,2
110P05393,2017,2
110P05394,2017,2
110P05391,2017,2
110P05392,2017,2
110P05390,2017,3
110-04951,2017,2
110-04953,2017,3
110-04954,2017,3
110-04950,2017,3
110-04955,2017,3
110-04956,2017,3
110-04957,2017,3
110-04958,2017,3
110P05469,2017,2
110P05467,2017,2
110P05468,2017,2
110P05465,2017,3
110P05466,2017,3
110-04820,2017,3
110P05463,2017,3
110-04822,2017,4
110P05464,2017,3
110P05461,2017,2
110P04130,2017,4
110P05460,2017,2
110-04827,2017,2
110-04823,2017,4
110-04824,2017,3
110-04826,2017,2
110-04809,2017,3
110P04149,2017,3
110P04147,2017,3
110P05478,2017,2
110P04148,2017,3
110P05479,2017,2
110P04145,2017,3
110P05476,2017,2
110P04146,2017,3
110P05477,2017,2
110-04810,2017,3
110P04143,2017,3
110P05474,2017,2
110P05475,2017,2
110-04811,2017,3
110P04144,2017,3
110P05472,2017,2
110P05473,2017,2
110P05470,2017,2
110P05471,2017,2
110-04816,2017,3
110-04817,2017,3
110-04818,2017,3
110-04819,2017,3
110-04812,2017,3
110-04813,2017,3
110-04814,2017,3
110-04815,2017,3
110P05487,2017,2
110P04156,2017,4
110P05488,2017,3
110P04157,2017,4
110P05485,2017,2
110P04154,2017,4
110P04155,2017,4
110-04800,2017,2
110P05486,2017,2
110P05483,2017,2
110P04152,2017,4
110P04153,2017,4
110P05484,2017,2
110P04150,2017,3
110P05481,2017,2
110P04151,2017,3
110P05482,2017,2
110-04805,2017,2
110P05480,2017,2
110-04806,2017,3
110-04807,2017,3
110-04808,2017,3
110-04801,2017,2
110-04802,2017,2
110-04803,2017,2
110-04804,2017,2
110P04169,2017,2
110P05498,2017,2
110P04167,2017,2
110P05499,2017,2
110P04168,2017,2
110P05496,2017,2
110P04165,2017,2
110P05497,2017,2
110P04166,2017,2
110P04163,2017,2
110P04164,2017,2
110P05495,2017,2
110P05492,2017,3
110P05490,2017,3
110P05491,2017,3
110P05429,2017,2
