TMC,YEAR,PERIOD,ALL_WEATHER
110N04177,2018,MIDD,0.008663261
110N04177,2018,PMP,0.001051511
110N04177,2018,WE,0.006172573
110N04177,2019,AMP,0.002882077
110N04177,2019,MIDD,0.002534589
110N04177,2019,PMP,0.006847861
110N04177,2019,WE,0.002882077
110N04177,2020,AMP,0
110N04177,2020,MIDD,0.003324145
110N04177,2020,PMP,0.00271549
110N04177,2020,WE,0
110N04178,2017,AMP,0.137844818
110N04178,2017,MIDD,0.034926638
110N04178,2017,PMP,0.012639423
110N04178,2017,WE,0.137844818
110N04178,2018,AMP,0.123423797
110N04178,2018,MIDD,0.024367993
110N04178,2018,PMP,0.018203225
110N04178,2018,WE,0.123423797
110N04178,2019,AMP,0.042814762
110N04178,2019,MIDD,0.022017348
110N04178,2019,PMP,0.023074181
110N04178,2019,WE,0.042814762
110N04178,2020,AMP,0.025612807
110N04178,2020,MIDD,0.020346692
110N04178,2020,PMP,0.027774597
110N04178,2020,WE,0.025612807
110N04179,2017,AMP,0.022445246
110N04179,2017,MIDD,0.007556268
110N04179,2017,PMP,0.002317575
110N04179,2017,WE,0.022445246
110N04179,2018,AMP,0.033584238
110N04179,2018,MIDD,0.00572318
110N04179,2018,PMP,0.009821999
110N04179,2018,WE,0.033584238
110N04179,2019,AMP,0.036020115
110N04179,2019,MIDD,0.024771179
110N04179,2019,PMP,0.015957056
110N04179,2019,WE,0.036020115
110N04179,2020,AMP,0.019355651
110N04179,2020,MIDD,0.007102417
110N04179,2020,PMP,0.005904103
110N04179,2020,WE,0.019355651
110N04180,2017,AMP,0
110N04180,2017,MIDD,0
110N04180,2017,PMP,0
110N04180,2017,WE,0
110N04180,2018,AMP,0
110N04180,2018,MIDD,0
110N04180,2018,PMP,0
110N04180,2018,WE,0
110N04180,2019,AMP,0.026244413
110N04180,2019,MIDD,0.017816801
110N04180,2019,PMP,0.019328172
110N04180,2019,WE,0.026244413
110N04180,2020,AMP,0.005664228
110N04180,2020,MIDD,0.007882916
110N04180,2020,PMP,0.009148378
110N04180,2020,WE,0.005664228
110N04181,2017,AMP,0.014967147
110N04181,2017,MIDD,0.004412215
110N04181,2017,PMP,0.004290331
110N04181,2017,WE,0.014967147
110N04181,2018,AMP,0.018632131
110N04181,2018,MIDD,0.018332092
110N04181,2018,PMP,0.005131439
110N04181,2018,WE,0.018632131
110N04181,2019,AMP,0.030516709
110N04181,2019,MIDD,0.028106819
110N04181,2019,PMP,0.030074234
110N04181,2019,WE,0.030516709
110N04181,2020,AMP,0.020571989
110N04181,2020,MIDD,0.021976604
110N04181,2020,PMP,0.02100933
110N04181,2020,WE,0.020571989
110N04182,2017,AMP,0.012609241
110N04182,2017,MIDD,0.003003027
110N04182,2017,PMP,0.001526976
110N04182,2017,WE,0.012609241
110N04182,2018,AMP,0.003242337
110N04182,2018,MIDD,0.00171048
110N04182,2018,PMP,0.001328225
110N04182,2018,WE,0.003242337
110N04182,2019,AMP,0.006028363
110N04182,2019,MIDD,0.002745849
110N04182,2019,PMP,0.004146977
110N04182,2019,WE,0.006028363
110N04182,2020,AMP,0.001206796
110N04182,2020,MIDD,0
110N04182,2020,PMP,0.003236323
110N04182,2020,WE,0.001206796
110N04183,2017,AMP,0.033420139
110N04183,2017,MIDD,0.00376656
110N04183,2017,PMP,0.001677885
110N04183,2017,WE,0.033420139
110N04183,2018,AMP,0.029305023
110N04183,2018,MIDD,0.008549383
110N04183,2018,PMP,0.005692316
110N04183,2018,WE,0.029305023
110N04183,2019,AMP,0.035485579
110N04183,2019,MIDD,0.021116965
110N04183,2019,PMP,0.01860712
110N04183,2019,WE,0.035485579
110N04183,2020,AMP,0.016507103
110N04183,2020,MIDD,0.007650375
110N04183,2020,PMP,0.014195558
110N04183,2020,WE,0.016507103
110N04184,2017,AMP,0.030112447
110N04184,2017,MIDD,0.003834224
110N04184,2017,PMP,0.00333734
110N04184,2017,WE,0.030112447
110N04184,2018,AMP,0.044052522
110N04184,2018,MIDD,0.008530935
110N04184,2018,PMP,0.003396392
110N04184,2018,WE,0.044052522
110N04184,2019,AMP,0.011167518
110N04184,2019,MIDD,0.001490883
110N04184,2019,PMP,0
110N04184,2019,WE,0.011167518
110N04184,2020,AMP,0.002917992
110N04184,2020,MIDD,0.000958263
110N04184,2020,PMP,0.001471851
110N04184,2020,WE,0.002917992
110N04185,2017,AMP,0.004690972
110N04185,2017,MIDD,0.000672543
110N04185,2017,PMP,0.00145406
110N04185,2017,WE,0.004690972
110N04185,2018,AMP,0.012455034
110N04185,2018,MIDD,0.00192103
110N04185,2018,PMP,0.002089453
110N04185,2018,WE,0.012455034
110N04185,2019,AMP,0.006598819
110N04185,2019,MIDD,0.001473499
110N04185,2019,PMP,0.00198808
110N04185,2019,WE,0.006598819
110N04185,2020,AMP,0.002651612
110N04185,2020,MIDD,0.000653096
110N04185,2020,PMP,0.001432888
110N04185,2020,WE,0.002651612
110N04186,2017,AMP,0.008276976
110N04186,2017,MIDD,0.006826033
110N04186,2017,PMP,0.00325
110N04186,2017,WE,0.008276976
110N04186,2018,AMP,0.020264474
110N04186,2018,MIDD,0.009987938
110N04186,2018,PMP,0.013538208
110N04186,2018,WE,0.020264474
110N04186,2019,AMP,0.015733291
110N04186,2019,MIDD,0.00375816
110N04186,2019,PMP,0.011497446
110N04186,2019,WE,0.015733291
110N04186,2020,AMP,0.010305609
110N04186,2020,MIDD,0.006918999
110N04186,2020,PMP,0.013594148
110N04186,2020,WE,0.010305609
110N04187,2017,AMP,0.000231303
110N04187,2017,MIDD,0.0000589387
110N04187,2017,PMP,0
110N04187,2017,WE,0.000231303
110N04187,2018,AMP,0
110N04187,2018,MIDD,0.000230417
110N04187,2018,PMP,0
110N04187,2018,WE,0
110N04187,2019,AMP,0.001190666
110N04187,2019,MIDD,0.000768412
110N04187,2019,PMP,0.001843338
110N04187,2019,WE,0.001190666
110N04187,2020,AMP,0.002654262
110N04187,2020,MIDD,0.00030605
110N04187,2020,PMP,0.001900445
110N04187,2020,WE,0.002654262
110N04188,2017,AMP,0
110N04188,2017,MIDD,0
110N04188,2017,PMP,0
110N04188,2017,WE,0
110N04188,2018,AMP,0
110N04188,2018,MIDD,0.001685469
110N04188,2018,PMP,0.000547573
110N04188,2018,WE,0
110N04188,2019,AMP,0
110N04188,2019,MIDD,0.000173478
110N04188,2019,PMP,0.0000393785
110N04188,2019,WE,0
110N04188,2020,AMP,0.0000169635
110N04188,2020,MIDD,0.0000770427
110N04188,2020,PMP,0.000268236
110N04188,2020,WE,0.0000169635
110N04189,2017,AMP,0.001256944
110N04189,2017,MIDD,0
110N04189,2017,PMP,0
110N04189,2017,WE,0.001256944
110N04189,2018,AMP,0
110N04189,2018,MIDD,0
110N04189,2018,PMP,0
110N04189,2018,WE,0
110N04189,2019,AMP,0
110N04189,2019,MIDD,0
110N04189,2019,PMP,0
110N04189,2019,WE,0
110N04189,2020,AMP,0.000950223
110N04189,2020,MIDD,0.00000759825
110N04189,2020,PMP,0.000429124
110N04189,2020,WE,0.000950223
110N04190,2017,AMP,0
110N04190,2017,MIDD,0.001718305
110N04190,2017,PMP,0
110N04190,2017,WE,0
110N04190,2018,AMP,0
110N04190,2018,MIDD,0
110N04190,2018,PMP,0
110N04190,2018,WE,0
110N04190,2019,AMP,0.00030944
110N04190,2019,MIDD,0.001185611
110N04190,2019,PMP,0.000406556
110N04190,2019,WE,0.00030944
110N04190,2020,AMP,0
110N04190,2020,MIDD,0
110N04190,2020,PMP,0
110N04190,2020,WE,0
110N04191,2017,AMP,0
110N04191,2017,MIDD,0.000392272
110N04191,2017,PMP,0.001278312
110N04191,2017,WE,0
110N04191,2018,AMP,0.001113506
110N04191,2018,MIDD,0
110N04191,2018,PMP,0
110N04191,2018,WE,0.001113506
110N04191,2019,AMP,0
110N04191,2019,MIDD,0
110N04191,2019,PMP,0
110N04191,2019,WE,0
110N04191,2020,AMP,0.0000681192
110N04191,2020,MIDD,0.0000415253
110N04191,2020,PMP,0.00016672
110N04191,2020,WE,0.0000681192
110N04192,2017,AMP,0
110N04192,2017,MIDD,0.0000598291
110N04192,2017,PMP,0
110N04192,2017,WE,0
110N04192,2018,AMP,0
110N04192,2018,MIDD,0
110N04192,2018,PMP,0
110N04192,2018,WE,0
110N04192,2019,AMP,0.000197691
110N04192,2019,MIDD,0
110N04192,2019,PMP,0
110N04192,2019,WE,0.000197691
110N04192,2020,AMP,0
110N04192,2020,MIDD,0
110N04192,2020,PMP,0.00014631
110N04192,2020,WE,0
110N04193,2017,AMP,0
110N04193,2017,MIDD,0
110N04193,2017,PMP,0
110N04193,2017,WE,0
110N04193,2018,AMP,0
110N04193,2018,MIDD,0.000635909
110N04193,2018,PMP,0
110N04193,2018,WE,0
110N04193,2019,AMP,0
110N04193,2019,MIDD,0
110N04193,2019,PMP,0
110N04193,2019,WE,0
110N04193,2020,AMP,0.001099714
110N04193,2020,MIDD,0.000608567
110N04193,2020,PMP,0.002431616
110N04193,2020,WE,0.001099714
110N04603,2017,AMP,0.037305021
110N04603,2017,MIDD,0.025400641
110N04603,2017,PMP,0.049554487
110N04603,2017,WE,0.037305021
110N04603,2018,AMP,0.024957695
110N04603,2018,MIDD,0.038042429
110N04603,2018,PMP,0.035434493
110N04603,2018,WE,0.024957695
110N04603,2019,AMP,0.024098819
110N04603,2019,MIDD,0.025356357
110N04603,2019,PMP,0.033681886
110N04603,2019,WE,0.024098819
110N04603,2020,AMP,0.022093405
110N04603,2020,MIDD,0.022715401
110N04603,2020,PMP,0.030298717
110N04603,2020,WE,0.022093405
110N04604,2017,AMP,0.010758547
110N04604,2017,MIDD,0.012521546
110N04604,2017,PMP,0.013084402
110N04604,2017,WE,0.010758547
110N04604,2018,AMP,0.002358716
110N04604,2018,MIDD,0.002839151
110N04604,2018,PMP,0.004514155
110N04604,2018,WE,0.002358716
110N04604,2019,AMP,0.005520966
110N04604,2019,MIDD,0.006375763
110N04604,2019,PMP,0.002296456
110N04604,2019,WE,0.005520966
110N04604,2020,AMP,0.016845314
110N04604,2020,MIDD,0.017820717
110N04604,2020,PMP,0.023003605
110N04604,2020,WE,0.016845314
110N04605,2017,AMP,0.00629781
110N04605,2017,MIDD,0.022708333
110N04605,2017,PMP,0.089013355
110N04605,2017,WE,0.00629781
110N04605,2018,AMP,0.004244625
110N04605,2018,MIDD,0.019643288
110N04605,2018,PMP,0.092863453
110N04605,2018,WE,0.004244625
110N04605,2019,AMP,0.016715358
110N04605,2019,MIDD,0.019845324
110N04605,2019,PMP,0.025685664
110N04605,2019,WE,0.016715358
110N04605,2020,AMP,0.013814408
110N04605,2020,MIDD,0.024560539
110N04605,2020,PMP,0.029977735
110N04605,2020,WE,0.013814408
110N04606,2017,AMP,0.002360043
110N04606,2017,MIDD,0.034486823
110N04606,2017,PMP,0.29000828
110N04606,2017,WE,0.002360043
110N04606,2018,AMP,0
110N04606,2018,MIDD,0
110N04606,2018,PMP,0
110N04606,2018,WE,0
110N04606,2019,AMP,0
110N04606,2019,MIDD,0
110N04606,2019,PMP,0
110N04606,2019,WE,0
110N04606,2020,AMP,0.011258482
110N04606,2020,MIDD,0.015318596
110N04606,2020,PMP,0.024046067
110N04606,2020,WE,0.011258482
110N04607,2017,AMP,0.007662927
110N04607,2017,MIDD,0.049005876
110N04607,2017,PMP,0.232090011
110N04607,2017,WE,0.007662927
110N04607,2018,AMP,0
110N04607,2018,MIDD,0
110N04607,2018,PMP,0
110N04607,2018,WE,0
110N04607,2019,AMP,0.027785228
110N04607,2019,MIDD,0.012288917
110N04607,2019,PMP,0.040993508
110N04607,2019,WE,0.027785228
110N04607,2020,AMP,0.022395833
110N04607,2020,MIDD,0.01645745
110N04607,2020,PMP,0.041352841
110N04607,2020,WE,0.022395833
110N04608,2017,AMP,0.001225962
110N04608,2017,MIDD,0.001604523
110N04608,2017,PMP,0.008473558
110N04608,2017,WE,0.001225962
110N04608,2018,AMP,0.006858238
110N04608,2018,MIDD,0.005170995
110N04608,2018,PMP,0.010139687
110N04608,2018,WE,0.006858238
110N04608,2019,AMP,0.021930077
110N04608,2019,MIDD,0.016053462
110N04608,2019,PMP,0.054130481
110N04608,2019,WE,0.021930077
110N04608,2020,AMP,0.007612383
110N04608,2020,MIDD,0.01180856
110N04608,2020,PMP,0.019938242
110N04608,2020,WE,0.007612383
110N04609,2017,AMP,0.003276175
110N04609,2017,MIDD,0.004326211
110N04609,2017,PMP,0.006516026
110N04609,2017,WE,0.003276175
110N04609,2018,AMP,0
110N04609,2018,MIDD,0
110N04609,2018,PMP,0
110N04609,2018,WE,0
110N04609,2019,AMP,0
110N04609,2019,MIDD,0
110N04609,2019,PMP,0
110N04609,2019,WE,0
110N04609,2020,AMP,0.012689249
110N04609,2020,MIDD,0.008885532
110N04609,2020,PMP,0.012821247
110N04609,2020,WE,0.012689249
110N04610,2017,AMP,0.000499466
110N04610,2017,MIDD,0.001814637
110N04610,2017,PMP,0.004166132
110N04610,2017,WE,0.000499466
110N04610,2018,AMP,0
110N04610,2018,MIDD,0
110N04610,2018,PMP,0
110N04610,2018,WE,0
110N04610,2019,AMP,0
110N04610,2019,MIDD,0
110N04610,2019,PMP,0
110N04610,2019,WE,0
110N04610,2020,AMP,0.005035252
110N04610,2020,MIDD,0.003862383
110N04610,2020,PMP,0.000543363
110N04610,2020,WE,0.005035252
110N04611,2017,AMP,0.003251603
110N04611,2017,MIDD,0.003287393
110N04611,2017,PMP,0.007224359
110N04611,2017,WE,0.003251603
110N04611,2018,AMP,0.006530705
110N04611,2018,MIDD,0.003337236
110N04611,2018,PMP,0.000190507
110N04611,2018,WE,0.006530705
110N04611,2019,AMP,0.026441039
110N04611,2019,MIDD,0.024709983
110N04611,2019,PMP,0.018307524
110N04611,2019,WE,0.026441039
110N04611,2020,AMP,0.031472116
110N04611,2020,MIDD,0.024210843
110N04611,2020,PMP,0.024983302
110N04611,2020,WE,0.031472116
110N04612,2017,AMP,0.002573184
110N04612,2017,MIDD,0.003266738
110N04612,2017,PMP,0.011469284
110N04612,2017,WE,0.002573184
110N04612,2018,AMP,0.002891656
110N04612,2018,MIDD,0.001483255
110N04612,2018,PMP,0.01246142
110N04612,2018,WE,0.002891656
110N04612,2019,AMP,0.014045605
110N04612,2019,MIDD,0.006645913
110N04612,2019,PMP,0.007755428
110N04612,2019,WE,0.014045605
110N04612,2020,AMP,0.006519826
110N04612,2020,MIDD,0.004432429
110N04612,2020,PMP,0.003111747
110N04612,2020,WE,0.006519826
110N04613,2017,AMP,0.013522703
110N04613,2017,MIDD,0.008560541
110N04613,2017,PMP,0.017523237
110N04613,2017,WE,0.013522703
110N04613,2018,AMP,0.018346903
110N04613,2018,MIDD,0.023600468
110N04613,2018,PMP,0.01584238
110N04613,2018,WE,0.018346903
110N04613,2019,AMP,0.016599351
110N04613,2019,MIDD,0.016960586
110N04613,2019,PMP,0.010663048
110N04613,2019,WE,0.016599351
110N04613,2020,AMP,0.006916879
110N04613,2020,MIDD,0.009155358
110N04613,2020,PMP,0.011892494
110N04613,2020,WE,0.006916879
110N04645,2017,AMP,0.011336271
110N04645,2017,MIDD,0.011761396
110N04645,2017,PMP,0.056043536
110N04645,2017,WE,0.011336271
110N04645,2018,AMP,0.010227224
110N04645,2018,MIDD,0.006585959
110N04645,2018,PMP,0.041815666
110N04645,2018,WE,0.010227224
110N04645,2019,AMP,0.016858238
110N04645,2019,MIDD,0.014600362
110N04645,2019,PMP,0.06889155
110N04645,2019,WE,0.016858238
110N04645,2020,AMP,0.020918416
110N04645,2020,MIDD,0.008717133
110N04645,2020,PMP,0.022406966
110N04645,2020,WE,0.020918416
110N04646,2017,AMP,0.009791132
110N04646,2017,MIDD,0.015043091
110N04646,2017,PMP,0.055686966
110N04646,2017,WE,0.009791132
110N04646,2018,AMP,0
110N04646,2018,MIDD,0.000692671
110N04646,2018,PMP,0.000897456
110N04646,2018,WE,0
110N04646,2019,AMP,0.004356641
110N04646,2019,MIDD,0.002732191
110N04646,2019,PMP,0.012770328
110N04646,2019,WE,0.004356641
110N04646,2020,AMP,0.008743904
110N04646,2020,MIDD,0.008466391
110N04646,2020,PMP,0.026543681
110N04646,2020,WE,0.008743904
110N04647,2017,AMP,0.01402938
110N04647,2017,MIDD,0.014902244
110N04647,2017,PMP,0.021539263
110N04647,2017,WE,0.01402938
110N04647,2018,AMP,0.009831045
110N04647,2018,MIDD,0.012100717
110N04647,2018,PMP,0.02240927
110N04647,2018,WE,0.009831045
110N04647,2019,AMP,0.01322318
110N04647,2019,MIDD,0.012361998
110N04647,2019,PMP,0.043029747
110N04647,2019,WE,0.01322318
110N04647,2020,AMP,0.009794582
110N04647,2020,MIDD,0.010156383
110N04647,2020,PMP,0.008157072
110N04647,2020,WE,0.009794582
110N04648,2017,AMP,0.00309562
110N04648,2017,MIDD,0.004123219
110N04648,2017,PMP,0.008318643
110N04648,2017,WE,0.00309562
110N04648,2018,AMP,0.006102597
110N04648,2018,MIDD,0.00414751
110N04648,2018,PMP,0.009423425
110N04648,2018,WE,0.006102597
110N04648,2019,AMP,0.013586367
110N04648,2019,MIDD,0.016681921
110N04648,2019,PMP,0.014320722
110N04648,2019,WE,0.013586367
110N04648,2020,AMP,0.011269614
110N04648,2020,MIDD,0.010697625
110N04648,2020,PMP,0.005625
110N04648,2020,WE,0.011269614
110N04670,2017,AMP,0
110N04670,2017,MIDD,0
110N04670,2017,PMP,0
110N04670,2017,WE,0
110N04670,2018,AMP,0
110N04670,2018,MIDD,0
110N04670,2018,PMP,0
110N04670,2018,WE,0
110N04670,2019,AMP,0.00409669
110N04670,2019,MIDD,0.00422804
110N04670,2019,PMP,0.014864304
110N04670,2019,WE,0.00409669
110N04670,2020,AMP,0.005939885
110N04670,2020,MIDD,0.009026011
110N04670,2020,PMP,0.00882448
110N04670,2020,WE,0.005939885
110N04681,2017,AMP,0.000394765
110N04681,2017,MIDD,0.002312322
110N04681,2017,PMP,0.000817308
110N04681,2017,WE,0.000394765
110N04681,2018,AMP,0.003113825
110N04681,2018,MIDD,0.001407159
110N04681,2018,PMP,0.003845785
110N04681,2018,WE,0.003113825
110N04681,2019,AMP,0.000889208
110N04681,2019,MIDD,0.00215127
110N04681,2019,PMP,0.000614091
110N04681,2019,WE,0.000889208
110N04681,2020,AMP,0.000162479
110N04681,2020,MIDD,0.001493321
110N04681,2020,PMP,0.000260549
110N04681,2020,WE,0.000162479
110N04682,2017,AMP,0.000412927
110N04682,2017,MIDD,0.00013052
110N04682,2017,PMP,0.0000467415
110N04682,2017,WE,0.000412927
110N04682,2018,AMP,0.001104459
110N04682,2018,MIDD,0.000746417
110N04682,2018,PMP,0.0000787569
110N04682,2018,WE,0.001104459
110N04682,2019,AMP,0.000430502
110N04682,2019,MIDD,0.00045977
110N04682,2019,PMP,0
110N04682,2019,WE,0.000430502
110N04682,2020,AMP,0.001283132
110N04682,2020,MIDD,0.001020992
110N04682,2020,PMP,0.00122747
110N04682,2020,WE,0.001283132
110N04683,2017,AMP,0.000908387
110N04683,2017,MIDD,0.00091916
110N04683,2017,PMP,0.00000854701
110N04683,2017,WE,0.000908387
110N04683,2018,AMP,0.000139421
110N04683,2018,MIDD,0.00054509
110N04683,2018,PMP,0
110N04683,2018,WE,0.000139421
110N04683,2019,AMP,0
110N04683,2019,MIDD,0.0000319285
110N04683,2019,PMP,0
110N04683,2019,WE,0
110N04683,2020,AMP,0.000219731
110N04683,2020,MIDD,0.000103902
110N04683,2020,PMP,0
110N04683,2020,WE,0.000219731
110N04684,2017,AMP,0.000136485
110N04684,2017,MIDD,0.000140491
110N04684,2017,PMP,0.00103953
110N04684,2017,WE,0.000136485
110N04684,2018,AMP,0.000138091
110N04684,2018,MIDD,0.000881049
110N04684,2018,PMP,0.001808748
110N04684,2018,WE,0.000138091
110N04684,2019,AMP,0
110N04684,2019,MIDD,0
110N04684,2019,PMP,0
110N04684,2019,WE,0
110N04684,2020,AMP,0.0000543363
110N04684,2020,MIDD,0.000615281
110N04684,2020,PMP,0.001213953
110N04684,2020,WE,0.0000543363
110N04686,2017,AMP,0.001539263
110N04686,2017,MIDD,0.000785434
110N04686,2017,PMP,0
110N04686,2017,WE,0.001539263
110N04686,2018,AMP,0.000497552
110N04686,2018,MIDD,0.003050234
110N04686,2018,PMP,0.002589134
110N04686,2018,WE,0.000497552
110N04686,2019,AMP,0
110N04686,2019,MIDD,0.000647971
110N04686,2019,PMP,0.00116672
110N04686,2019,WE,0
110N04686,2020,AMP,0.004746607
110N04686,2020,MIDD,0.002205082
110N04686,2020,PMP,0.003349237
110N04686,2020,WE,0.004746607
110N04687,2017,AMP,0.002588942
110N04687,2017,MIDD,0.001746617
110N04687,2017,PMP,0.000885951
110N04687,2017,WE,0.002588942
110N04687,2018,AMP,0.002288474
110N04687,2018,MIDD,0.001982226
110N04687,2018,PMP,0.001729725
110N04687,2018,WE,0.002288474
110N04687,2019,AMP,0.0000744998
110N04687,2019,MIDD,0.001541791
110N04687,2019,PMP,0.001123084
110N04687,2019,WE,0.0000744998
110N04687,2020,AMP,0.000160358
110N04687,2020,MIDD,0.000485934
110N04687,2020,PMP,0.001917144
110N04687,2020,WE,0.000160358
110N04688,2017,AMP,0.002360043
110N04688,2017,MIDD,0.000953348
110N04688,2017,PMP,0
110N04688,2017,WE,0.002360043
110N04688,2018,AMP,0
110N04688,2018,MIDD,0.001170179
110N04688,2018,PMP,0.001652565
110N04688,2018,WE,0
110N04688,2019,AMP,0.002236324
110N04688,2019,MIDD,0.000576841
110N04688,2019,PMP,0.00323808
110N04688,2019,WE,0.002236324
110N04688,2020,AMP,0.000367101
110N04688,2020,MIDD,0.000456955
110N04688,2020,PMP,0.001291879
110N04688,2020,WE,0.000367101
110N04689,2017,AMP,0.00142094
110N04689,2017,MIDD,0.000674858
110N04689,2017,PMP,0.003130609
110N04689,2017,WE,0.00142094
110N04689,2018,AMP,0.005233344
110N04689,2018,MIDD,0.002757024
110N04689,2018,PMP,0.002922254
110N04689,2018,WE,0.005233344
110N04689,2019,AMP,0.00097036
110N04689,2019,MIDD,0.000270328
110N04689,2019,PMP,0.000608238
110N04689,2019,WE,0.00097036
110N04689,2020,AMP,0.004292833
110N04689,2020,MIDD,0.002341497
110N04689,2020,PMP,0.002052852
110N04689,2020,WE,0.004292833
110N04691,2017,AMP,0
110N04691,2017,MIDD,0
110N04691,2017,PMP,0
110N04691,2017,WE,0
110N04691,2018,AMP,0.000846105
110N04691,2018,MIDD,0.000255428
110N04691,2018,PMP,0.001298957
110N04691,2018,WE,0.000846105
110N04691,2019,AMP,0
110N04691,2019,MIDD,0.000045232
110N04691,2019,PMP,0.001050979
110N04691,2019,WE,0
110N04691,2020,AMP,0
110N04691,2020,MIDD,0.00041649
110N04691,2020,PMP,0
110N04691,2020,WE,0
110N04692,2017,AMP,0
110N04692,2017,MIDD,0.000309117
110N04692,2017,PMP,0
110N04692,2017,WE,0
110N04692,2018,AMP,0.001144104
110N04692,2018,MIDD,0
110N04692,2018,PMP,0
110N04692,2018,WE,0.001144104
110N04692,2019,AMP,0.000332854
110N04692,2019,MIDD,0
110N04692,2019,PMP,0
110N04692,2019,WE,0.000332854
110N04692,2020,AMP,0
110N04692,2020,MIDD,0.000103018
110N04692,2020,PMP,0
110N04692,2020,WE,0
110N04693,2017,AMP,0.0000336538
110N04693,2017,MIDD,0.00051193
110N04693,2017,PMP,0
110N04693,2017,WE,0.0000336538
110N04693,2018,AMP,0
110N04693,2018,MIDD,0.00041986
110N04693,2018,PMP,0.000656396
110N04693,2018,WE,0
110N04693,2019,AMP,0
110N04693,2019,MIDD,0.0000794664
110N04693,2019,PMP,0
110N04693,2019,WE,0
110N04693,2020,AMP,0
110N04693,2020,MIDD,0.000168575
110N04693,2020,PMP,0.000584182
110N04693,2020,WE,0
110N04694,2017,AMP,0.000563034
110N04694,2017,MIDD,0
110N04694,2017,PMP,0
110N04694,2017,WE,0.000563034
110N04694,2018,AMP,0
110N04694,2018,MIDD,0.0000823045
110N04694,2018,PMP,0
110N04694,2018,WE,0
110N04694,2019,AMP,0
110N04694,2019,MIDD,0.000385802
110N04694,2019,PMP,0.000887612
110N04694,2019,WE,0
110N04694,2020,AMP,0.000205683
110N04694,2020,MIDD,0.000470385
110N04694,2020,PMP,0.00129665
110N04694,2020,WE,0.000205683
110N04698,2017,AMP,0.000826923
110N04698,2017,MIDD,0
110N04698,2017,PMP,0.003059562
110N04698,2017,WE,0.000826923
110N04698,2018,AMP,0
110N04698,2018,MIDD,0
110N04698,2018,PMP,0
110N04698,2018,WE,0
110N04698,2019,AMP,0
110N04698,2019,MIDD,0
110N04698,2019,PMP,0
110N04698,2019,WE,0
110N04698,2020,AMP,0
110N04698,2020,MIDD,0
110N04698,2020,PMP,0.001990299
110N04698,2020,WE,0
110N04699,2017,AMP,0.000897436
110N04699,2017,MIDD,0.002325321
110N04699,2017,PMP,0.003109776
110N04699,2017,WE,0.000897436
110N04699,2018,AMP,0.001912782
110N04699,2018,MIDD,0.00117621
110N04699,2018,PMP,0.009589187
110N04699,2018,WE,0.001912782
110N04699,2019,AMP,0.004057312
110N04699,2019,MIDD,0.003419895
110N04699,2019,PMP,0.006985951
110N04699,2019,WE,0.004057312
110N04699,2020,AMP,0.004593405
110N04699,2020,MIDD,0.002853407
110N04699,2020,PMP,0.005204623
110N04699,2020,WE,0.004593405
110N04700,2017,AMP,0.005063568
110N04700,2017,MIDD,0.001015135
110N04700,2017,PMP,0.011436966
110N04700,2017,WE,0.005063568
110N04700,2018,AMP,0.006572212
110N04700,2018,MIDD,0.006176387
110N04700,2018,PMP,0.011156609
110N04700,2018,WE,0.006572212
110N04700,2019,AMP,0.005934174
110N04700,2019,MIDD,0.003871506
110N04700,2019,PMP,0.00727251
110N04700,2019,WE,0.005934174
110N04700,2020,AMP,0.005919211
110N04700,2020,MIDD,0.008684443
110N04700,2020,PMP,0.004536949
110N04700,2020,WE,0.005919211
110N04701,2017,AMP,0.004331197
110N04701,2017,MIDD,0.002003383
110N04701,2017,PMP,0.002388088
110N04701,2017,WE,0.004331197
110N04701,2018,AMP,0.002772722
110N04701,2018,MIDD,0.005678658
110N04701,2018,PMP,0.004492603
110N04701,2018,WE,0.002772722
110N04701,2019,AMP,0.003499628
110N04701,2019,MIDD,0.006341883
110N04701,2019,PMP,0.003187261
110N04701,2019,WE,0.003499628
110N04701,2020,AMP,0.006545802
110N04701,2020,MIDD,0.010279898
110N04701,2020,PMP,0.008988815
110N04701,2020,WE,0.006545802
110N04702,2017,AMP,0.003238248
110N04702,2017,MIDD,0.002345976
110N04702,2017,PMP,0.005271635
110N04702,2017,WE,0.003238248
110N04702,2018,AMP,0.008134845
110N04702,2018,MIDD,0.003264687
110N04702,2018,PMP,0.003626277
110N04702,2018,WE,0.008134845
110N04702,2019,AMP,0.013812527
110N04702,2019,MIDD,0.008561799
110N04702,2019,PMP,0.020974883
110N04702,2019,WE,0.013812527
110N04702,2020,AMP,0.008255937
110N04702,2020,MIDD,0.003769261
110N04702,2020,PMP,0.017316847
110N04702,2020,WE,0.008255937
110N04703,2017,AMP,0.011263622
110N04703,2017,MIDD,0.003957443
110N04703,2017,PMP,0.012265224
110N04703,2017,WE,0.011263622
110N04703,2018,AMP,0.012937952
110N04703,2018,MIDD,0.004420498
110N04703,2018,PMP,0.020037516
110N04703,2018,WE,0.012937952
110N04703,2019,AMP,0.015351479
110N04703,2019,MIDD,0.006093373
110N04703,2019,PMP,0.027090251
110N04703,2019,WE,0.015351479
110N04703,2020,AMP,0.011243904
110N04703,2020,MIDD,0.008274491
110N04703,2020,PMP,0.027797657
110N04703,2020,WE,0.011243904
110N04704,2017,AMP,0.008247062
110N04704,2017,MIDD,0.005375356
110N04704,2017,PMP,0.013892094
