TMC,YEAR,PERIOD,ALL_WEATHER
110+04126,2019,MIDD,0.000734532
110+04126,2019,PMP,0.007765006
110+04126,2019,WE,0.001741166
110+04126,2020,AMP,0
110+04126,2020,MIDD,0.000092946
110+04126,2020,PMP,0
110+04126,2020,WE,0
110+04127,2017,AMP,0.016395833
110+04127,2017,MIDD,0.011572828
110+04127,2017,PMP,0.019185096
110+04127,2017,WE,0.016395833
110+04127,2018,AMP,0.032048478
110+04127,2018,MIDD,0.00993295
110+04127,2018,PMP,0.019032833
110+04127,2018,WE,0.032048478
110+04127,2019,AMP,0.025363453
110+04127,2019,MIDD,0.017795693
110+04127,2019,PMP,0.027428161
110+04127,2019,WE,0.025363453
110+04127,2020,AMP,0.018036737
110+04127,2020,MIDD,0.01171685
110+04127,2020,PMP,0.008329358
110+04127,2020,WE,0.018036737
110+04128,2017,AMP,0.006600962
110+04128,2017,MIDD,0.002066952
110+04128,2017,PMP,0.005475427
110+04128,2017,WE,0.006600962
110+04128,2018,AMP,0.037374149
110+04128,2018,MIDD,0.006118561
110+04128,2018,PMP,0.007687314
110+04128,2018,WE,0.037374149
110+04128,2019,AMP,0.006660813
110+04128,2019,MIDD,0.006028984
110+04128,2019,PMP,0.01262931
110+04128,2019,WE,0.006660813
110+04128,2020,AMP,0.007138465
110+04128,2020,MIDD,0.001127721
110+04128,2020,PMP,0.004317218
110+04128,2020,WE,0.007138465
110+04129,2017,AMP,0.006232105
110+04129,2017,MIDD,0.003434829
110+04129,2017,PMP,0.00413328
110+04129,2017,WE,0.006232105
110+04129,2018,AMP,0.004756279
110+04129,2018,MIDD,0.002586384
110+04129,2018,PMP,0.009188218
110+04129,2018,WE,0.004756279
110+04129,2019,AMP,0.000898521
110+04129,2019,MIDD,0.004294913
110+04129,2019,PMP,0.006417092
110+04129,2019,WE,0.000898521
110+04129,2020,AMP,0
110+04129,2020,MIDD,0.001252827
110+04129,2020,PMP,0.004171173
110+04129,2020,WE,0
110+04130,2017,AMP,0.005640491
110+04130,2017,MIDD,0.005400463
110+04130,2017,PMP,0.007505609
110+04130,2017,WE,0.005640491
110+04130,2018,AMP,0.005996435
110+04130,2018,MIDD,0.012419469
110+04130,2018,PMP,0.013221318
110+04130,2018,WE,0.005996435
110+04130,2019,AMP,0
110+04130,2019,MIDD,0
110+04130,2019,PMP,0
110+04130,2019,WE,0
110+04130,2020,AMP,0
110+04130,2020,MIDD,0
110+04130,2020,PMP,0
110+04130,2020,WE,0
110+04143,2017,AMP,0.017355235
110+04143,2017,MIDD,0.013440883
110+04143,2017,PMP,0.017065171
110+04143,2017,WE,0.017355235
110+04143,2018,AMP,0
110+04143,2018,MIDD,0
110+04143,2018,PMP,0
110+04143,2018,WE,0
110+04143,2019,AMP,0.023287569
110+04143,2019,MIDD,0.011284234
110+04143,2019,PMP,0.014673265
110+04143,2019,WE,0.023287569
110+04143,2020,AMP,0
110+04143,2020,MIDD,0
110+04143,2020,PMP,0
110+04143,2020,WE,0
110+04144,2017,AMP,0.087731838
110+04144,2017,MIDD,0.070992521
110+04144,2017,PMP,0.055919338
110+04144,2017,WE,0.087731838
110+04144,2018,AMP,0.072542039
110+04144,2018,MIDD,0.073680999
110+04144,2018,PMP,0.055094987
110+04144,2018,WE,0.072542039
110+04144,2019,AMP,0.108672307
110+04144,2019,MIDD,0.07160955
110+04144,2019,PMP,0.074040815
110+04144,2019,WE,0.108672307
110+04144,2020,AMP,0.041996925
110+04144,2020,MIDD,0.036348954
110+04144,2020,PMP,0.044469095
110+04144,2020,WE,0.041996925
110+04145,2017,AMP,0.226922276
110+04145,2017,MIDD,0.053932158
110+04145,2017,PMP,0.02660203
110+04145,2017,WE,0.226922276
110+04145,2018,AMP,0.067101692
110+04145,2018,MIDD,0.038900064
110+04145,2018,PMP,0.03326176
110+04145,2018,WE,0.067101692
110+04145,2019,AMP,0.035059866
110+04145,2019,MIDD,0.024234071
110+04145,2019,PMP,0.0275149
110+04145,2019,WE,0.035059866
110+04145,2020,AMP,0.026686281
110+04145,2020,MIDD,0.020868851
110+04145,2020,PMP,0.019462203
110+04145,2020,WE,0.026686281
110+04146,2017,AMP,0.176591346
110+04146,2017,MIDD,0.058221688
110+04146,2017,PMP,0.063915064
110+04146,2017,WE,0.176591346
110+04146,2018,AMP,0.056858504
110+04146,2018,MIDD,0.041719703
110+04146,2018,PMP,0.054790336
110+04146,2018,WE,0.056858504
110+04146,2019,AMP,0.090321946
110+04146,2019,MIDD,0.070907833
110+04146,2019,PMP,0.087696626
110+04146,2019,WE,0.090321946
110+04146,2020,AMP,0.084066211
110+04146,2020,MIDD,0.050481694
110+04146,2020,PMP,0.046966709
110+04146,2020,WE,0.084066211
110+04147,2017,AMP,0.013549412
110+04147,2017,MIDD,0.012337607
110+04147,2017,PMP,0.021884882
110+04147,2017,WE,0.013549412
110+04147,2018,AMP,0.019122765
110+04147,2018,MIDD,0.016948702
110+04147,2018,PMP,0.022420711
110+04147,2018,WE,0.019122765
110+04147,2019,AMP,0.036720413
110+04147,2019,MIDD,0.03191358
110+04147,2019,PMP,0.037857067
110+04147,2019,WE,0.036720413
110+04147,2020,AMP,0.032136079
110+04147,2020,MIDD,0.020538592
110+04147,2020,PMP,0.033506944
110+04147,2020,WE,0.032136079
110+04148,2017,AMP,0.019989583
110+04148,2017,MIDD,0.025123575
110+04148,2017,PMP,0.032398771
110+04148,2017,WE,0.019989583
110+04148,2018,AMP,0.029032567
110+04148,2018,MIDD,0.025056939
110+04148,2018,PMP,0.024512559
110+04148,2018,WE,0.029032567
110+04148,2019,AMP,0.044765592
110+04148,2019,MIDD,0.044129772
110+04148,2019,PMP,0.036900277
110+04148,2019,WE,0.044765592
110+04148,2020,AMP,0.036562235
110+04148,2020,MIDD,0.029288062
110+04148,2020,PMP,0.041620017
110+04148,2020,WE,0.036562235
110+04149,2017,AMP,0.039615118
110+04149,2017,MIDD,0.031328704
110+04149,2017,PMP,0.034477297
110+04149,2017,WE,0.039615118
110+04149,2018,AMP,0.075551298
110+04149,2018,MIDD,0.035565134
110+04149,2018,PMP,0.040972488
110+04149,2018,WE,0.075551298
110+04149,2019,AMP,0.122314283
110+04149,2019,MIDD,0.067016461
110+04149,2019,PMP,0.071341794
110+04149,2019,WE,0.122314283
110+04149,2020,AMP,0.037341497
110+04149,2020,MIDD,0.039299901
110+04149,2020,PMP,0.039219413
110+04149,2020,WE,0.037341497
110+04150,2017,AMP,0.001938835
110+04150,2017,MIDD,0.000813746
110+04150,2017,PMP,0.0000384615
110+04150,2017,WE,0.001938835
110+04150,2018,AMP,0.005726905
110+04150,2018,MIDD,0.001721122
110+04150,2018,PMP,0.003405438
110+04150,2018,WE,0.005726905
110+04150,2019,AMP,0.022299915
110+04150,2019,MIDD,0.007357918
110+04150,2019,PMP,0.009241433
110+04150,2019,WE,0.022299915
110+04150,2020,AMP,0.007242897
110+04150,2020,MIDD,0.005951548
110+04150,2020,PMP,0.006879771
110+04150,2020,WE,0.007242897
110+04151,2017,AMP,0.068538996
110+04151,2017,MIDD,0.023859865
110+04151,2017,PMP,0.022848558
110+04151,2017,WE,0.068538996
110+04151,2018,AMP,0.053796828
110+04151,2018,MIDD,0.032401554
110+04151,2018,PMP,0.023409163
110+04151,2018,WE,0.053796828
110+04151,2019,AMP,0.081558376
110+04151,2019,MIDD,0.045603448
110+04151,2019,PMP,0.025038048
110+04151,2019,WE,0.081558376
110+04151,2020,AMP,0.027961991
110+04151,2020,MIDD,0.015888288
110+04151,2020,PMP,0.010138624
110+04151,2020,WE,0.027961991
110+04152,2017,AMP,0.112270566
110+04152,2017,MIDD,0.054587963
110+04152,2017,PMP,0.080907051
110+04152,2017,WE,0.112270566
110+04152,2018,AMP,0.082634632
110+04152,2018,MIDD,0.037368384
