TMC,YEAR,PERIOD,Crashes
110-04607,2023,WE,1.948046953
110-04607,2024,AMP,1.807355722
110-04607,2024,MIDD,4.726930351
110-04607,2024,PMP,7.646504979
110-04607,2024,WE,1.946383086
110-04608,2017,AMP,3
110-04608,2017,MIDD,6
110-04608,2017,PMP,18
110-04608,2017,WE,7
110-04608,2018,AMP,2
110-04608,2018,MIDD,6
110-04608,2018,PMP,12
110-04608,2018,WE,5
110-04608,2019,AMP,2
110-04608,2019,MIDD,5
110-04608,2019,PMP,13
110-04608,2019,WE,7
110-04608,2020,AMP,2
110-04608,2020,MIDD,8
110-04608,2020,PMP,12
110-04608,2020,WE,1
110-04608,2021,AMP,1.468783261
110-04608,2021,MIDD,4.079953502
110-04608,2021,PMP,8.975897704
110-04608,2021,WE,3.263962801
110-04608,2022,AMP,1.46755481
110-04608,2022,MIDD,4.076541139
110-04608,2022,PMP,8.968390506
110-04608,2022,WE,3.261232911
110-04608,2023,AMP,1.466358587
110-04608,2023,MIDD,4.073218298
110-04608,2023,PMP,8.961080255
110-04608,2023,WE,3.258574638
110-04608,2024,AMP,1.465131632
110-04608,2024,MIDD,4.069810089
110-04608,2024,PMP,8.953582196
110-04608,2024,WE,3.255848071
110-04609,2017,AMP,1
110-04609,2017,MIDD,3
110-04609,2017,PMP,3
110-04609,2017,WE,0
110-04609,2018,AMP,0
110-04609,2018,MIDD,0
110-04609,2018,PMP,0
110-04609,2018,WE,1
110-04609,2019,AMP,0
110-04609,2019,MIDD,3
110-04609,2019,PMP,1
110-04609,2019,WE,1
110-04609,2020,AMP,3
110-04609,2020,MIDD,1
110-04609,2020,PMP,1
110-04609,2020,WE,0
110-04609,2021,AMP,1.658046031
110-04609,2021,MIDD,1.205851659
110-04609,2021,PMP,0.904388744
110-04609,2021,WE,2.562434775
110-04609,2022,AMP,1.656727321
110-04609,2022,MIDD,1.204892597
110-04609,2022,PMP,0.903669448
110-04609,2022,WE,2.560396769
110-04609,2023,AMP,1.655372768
110-04609,2023,MIDD,1.203907468
110-04609,2023,PMP,0.902930601
110-04609,2023,WE,2.558303369
110-04609,2024,AMP,1.654055591
110-04609,2024,MIDD,1.202949521
110-04609,2024,PMP,0.902212141
110-04609,2024,WE,2.556267732
110-04610,2017,AMP,8
110-04610,2017,MIDD,0
110-04610,2017,PMP,5
110-04610,2017,WE,1
110-04610,2018,AMP,0
110-04610,2018,MIDD,2
110-04610,2018,PMP,1
110-04610,2018,WE,0
110-04610,2019,AMP,1
110-04610,2019,MIDD,3
110-04610,2019,PMP,2
110-04610,2019,WE,0
110-04610,2020,AMP,1
110-04610,2020,MIDD,2
110-04610,2020,PMP,0
110-04610,2020,WE,0
110-04610,2021,AMP,1.657601514
110-04610,2021,MIDD,2.32064212
110-04610,2021,PMP,1.215574444
110-04610,2021,WE,1.768108282
110-04610,2022,AMP,1.656275353
110-04610,2022,MIDD,2.318785494
110-04610,2022,PMP,1.214601925
110-04610,2022,WE,1.766693709
110-04610,2023,AMP,1.654949952
110-04610,2023,MIDD,2.316929933
110-04610,2023,PMP,1.213629965
110-04610,2023,WE,1.765279949
110-04610,2024,AMP,1.653625313
110-04610,2024,MIDD,2.315075439
110-04610,2024,PMP,1.212658563
110-04610,2024,WE,1.763867001
110-04611,2017,AMP,4
110-04611,2017,MIDD,11
110-04611,2017,PMP,11
110-04611,2017,WE,8
110-04611,2018,AMP,3
110-04611,2018,MIDD,8
110-04611,2018,PMP,10
110-04611,2018,WE,1
110-04611,2019,AMP,2
110-04611,2019,MIDD,4
110-04611,2019,PMP,6
110-04611,2019,WE,2
110-04611,2020,AMP,2
110-04611,2020,MIDD,3
110-04611,2020,PMP,1
110-04611,2020,WE,2
110-04611,2021,AMP,1.918429905
110-04611,2021,MIDD,4.534470685
110-04611,2021,PMP,4.883276122
110-04611,2021,WE,2.267235342
110-04611,2022,AMP,1.916996412
110-04611,2022,MIDD,4.531082428
110-04611,2022,PMP,4.879627231
110-04611,2022,WE,2.265541214
110-04611,2023,AMP,1.91556364
110-04611,2023,MIDD,4.527695876
110-04611,2023,PMP,4.875980174
110-04611,2023,WE,2.263847938
110-04611,2024,AMP,1.914177772
110-04611,2024,MIDD,4.524420188
110-04611,2024,PMP,4.87245251
110-04611,2024,WE,2.262210094
110-04612,2017,AMP,0
110-04612,2017,MIDD,1
110-04612,2017,PMP,3
110-04612,2017,WE,0
110-04612,2018,AMP,0
110-04612,2018,MIDD,0
110-04612,2018,PMP,0
110-04612,2018,WE,0
110-04612,2019,AMP,4
110-04612,2019,MIDD,2
110-04612,2019,PMP,3
110-04612,2019,WE,0
110-04612,2020,AMP,0
110-04612,2020,MIDD,1
110-04612,2020,PMP,0
110-04612,2020,WE,2
110-04612,2021,AMP,19.47817141
110-04612,2021,MIDD,5.565191831
110-04612,2021,PMP,13.91297958
110-04612,2021,WE,23.65206528
110-04612,2022,AMP,19.45856612
110-04612,2022,MIDD,5.559590321
110-04612,2022,PMP,13.8989758
110-04612,2022,WE,23.62825887
110-04612,2023,AMP,19.4389771
110-04612,2023,MIDD,5.553993456
110-04612,2023,PMP,13.88498364
110-04612,2023,WE,23.60447219
110-04612,2024,AMP,19.41940431
110-04612,2024,MIDD,5.548401232
110-04612,2024,PMP,13.87100308
110-04612,2024,WE,23.58070524
110-04613,2017,AMP,0
110-04613,2017,MIDD,5
110-04613,2017,PMP,3
110-04613,2017,WE,0
110-04613,2018,AMP,3
110-04613,2018,MIDD,0
110-04613,2018,PMP,0
110-04613,2018,WE,1
110-04613,2019,AMP,0
110-04613,2019,MIDD,1
110-04613,2019,PMP,1
110-04613,2019,WE,1
110-04613,2020,AMP,1
110-04613,2020,MIDD,2
110-04613,2020,PMP,0
110-04613,2020,WE,0
110-04613,2021,AMP,2.017680685
110-04613,2021,MIDD,1.424245189
110-04613,2021,PMP,1.30555809
110-04613,2021,WE,1.780306487
110-04613,2022,AMP,2.016181861
110-04613,2022,MIDD,1.423187196
110-04613,2022,PMP,1.304588263
110-04613,2022,WE,1.778983995
110-04613,2023,AMP,2.014683791
110-04613,2023,MIDD,1.422129735
110-04613,2023,PMP,1.303618923
110-04613,2023,WE,1.777662168
110-04613,2024,AMP,2.013186473
110-04613,2024,MIDD,1.421072804
110-04613,2024,PMP,1.302650071
110-04613,2024,WE,1.776341005
110-04644,2017,AMP,1
110-04644,2017,MIDD,1
110-04644,2017,PMP,7
110-04644,2017,WE,3
110-04644,2018,AMP,3
110-04644,2018,MIDD,2
110-04644,2018,PMP,7
110-04644,2018,WE,3
110-04644,2019,AMP,2
110-04644,2019,MIDD,2
110-04644,2019,PMP,2
110-04644,2019,WE,0
110-04644,2020,AMP,1
110-04644,2020,MIDD,2
110-04644,2020,PMP,0
110-04644,2020,WE,0
110-04644,2021,AMP,0.381067471
110-04644,2021,MIDD,0.381067471
110-04644,2021,PMP,1.252078832
110-04644,2021,WE,1.143202412
110-04644,2022,AMP,0.380808629
110-04644,2022,MIDD,0.380808629
110-04644,2022,PMP,1.251228352
110-04644,2022,WE,1.142425887
110-04644,2023,AMP,0.380549894
110-04644,2023,MIDD,0.380549894
110-04644,2023,PMP,1.250378224
110-04644,2023,WE,1.141649682
110-04644,2024,AMP,0.380291266
110-04644,2024,MIDD,0.380291266
110-04644,2024,PMP,1.249528446
110-04644,2024,WE,1.140873799
110-04645,2017,AMP,3
110-04645,2017,MIDD,3
110-04645,2017,PMP,16
110-04645,2017,WE,1
110-04645,2018,AMP,0
110-04645,2018,MIDD,7
110-04645,2018,PMP,9
110-04645,2018,WE,0
110-04645,2019,AMP,1
110-04645,2019,MIDD,0
110-04645,2019,PMP,0
110-04645,2019,WE,0
110-04645,2020,AMP,0
110-04645,2020,MIDD,0
110-04645,2020,PMP,1
110-04645,2020,WE,0
110-04645,2021,AMP,0.743944449
110-04645,2021,MIDD,0.38814493
110-04645,2021,PMP,0.873326092
110-04645,2021,WE,0.679253627
110-04645,2022,AMP,0.743439121
110-04645,2022,MIDD,0.387881281
110-04645,2022,PMP,0.872732882
110-04645,2022,WE,0.678792241
110-04645,2023,AMP,0.742934003
110-04645,2023,MIDD,0.38761774
110-04645,2023,PMP,0.872139916
110-04645,2023,WE,0.678331046
110-04645,2024,AMP,0.742429092
110-04645,2024,MIDD,0.387354309
110-04645,2024,PMP,0.871547195
110-04645,2024,WE,0.677870041
110-04646,2017,AMP,10
110-04646,2017,MIDD,16
110-04646,2017,PMP,25
110-04646,2017,WE,9
110-04646,2018,AMP,0
110-04646,2018,MIDD,9
110-04646,2018,PMP,21
110-04646,2018,WE,6
110-04646,2019,AMP,4
110-04646,2019,MIDD,7
110-04646,2019,PMP,19
110-04646,2019,WE,4
110-04646,2020,AMP,3
110-04646,2020,MIDD,4
110-04646,2020,PMP,10
110-04646,2020,WE,2
110-04646,2021,AMP,5.601577185
110-04646,2021,MIDD,3.666486885
110-04646,2021,PMP,7.638514343
110-04646,2021,WE,2.138784016
110-04646,2022,AMP,5.597724907
110-04646,2022,MIDD,3.663965394
110-04646,2022,PMP,7.633261237
110-04646,2022,WE,2.137313146
110-04646,2023,AMP,5.593874279
110-04646,2023,MIDD,3.661444983
110-04646,2023,PMP,7.628010381
110-04646,2023,WE,2.135842907
110-04646,2024,AMP,5.590025299
110-04646,2024,MIDD,3.658925651
110-04646,2024,PMP,7.622761772
110-04646,2024,WE,2.134373296
110-04647,2017,AMP,18
110-04647,2017,MIDD,6
110-04647,2017,PMP,35
110-04647,2017,WE,4
110-04647,2018,AMP,7
110-04647,2018,MIDD,7
110-04647,2018,PMP,12
110-04647,2018,WE,1
110-04647,2019,AMP,10
110-04647,2019,MIDD,7
110-04647,2019,PMP,23
110-04647,2019,WE,4
110-04647,2020,AMP,5
110-04647,2020,MIDD,5
110-04647,2020,PMP,6
110-04647,2020,WE,5
110-04647,2021,AMP,5.956110043
110-04647,2021,MIDD,3.722568777
110-04647,2021,PMP,11.31660908
110-04647,2021,WE,2.084638515
110-04647,2022,AMP,5.951207998
110-04647,2022,MIDD,3.719504999
110-04647,2022,PMP,11.3072952
110-04647,2022,WE,2.082922799
110-04647,2023,AMP,5.946308906
110-04647,2023,MIDD,3.716443067
110-04647,2023,PMP,11.29798692
110-04647,2023,WE,2.081208117
110-04647,2024,AMP,5.941541574
110-04647,2024,MIDD,3.713463484
110-04647,2024,PMP,11.28892899
110-04647,2024,WE,2.079539551
110-04648,2017,AMP,13
110-04648,2017,MIDD,8
110-04648,2017,PMP,4
110-04648,2017,WE,2
110-04648,2018,AMP,1
110-04648,2018,MIDD,9
110-04648,2018,PMP,10
110-04648,2018,WE,4
110-04648,2019,AMP,8
110-04648,2019,MIDD,4
110-04648,2019,PMP,12
110-04648,2019,WE,4
110-04648,2020,AMP,2
110-04648,2020,MIDD,3
110-04648,2020,PMP,5
110-04648,2020,WE,0
110-04648,2021,AMP,5.055000528
110-04648,2021,MIDD,5.055000528
110-04648,2021,PMP,6.529375682
110-04648,2021,WE,4.633750484
110-04648,2022,AMP,5.050812185
110-04648,2022,MIDD,5.050812185
110-04648,2022,PMP,6.523965739
110-04648,2022,WE,4.629911169
110-04648,2023,AMP,5.046519125
110-04648,2023,MIDD,5.046519125
110-04648,2023,PMP,6.518420537
110-04648,2023,WE,4.625975865
110-04648,2024,AMP,5.042336001
110-04648,2024,MIDD,5.042336001
110-04648,2024,PMP,6.513017334
110-04648,2024,WE,4.622141334
110-04670,2017,AMP,0
110-04670,2017,MIDD,1
110-04670,2017,PMP,0
110-04670,2017,WE,1
110-04670,2018,AMP,0
110-04670,2018,MIDD,1
110-04670,2018,PMP,1
110-04670,2018,WE,0
110-04670,2019,AMP,0
110-04670,2019,MIDD,0
110-04670,2019,PMP,0
110-04670,2019,WE,0
110-04670,2020,AMP,0
110-04670,2020,MIDD,0
110-04670,2020,PMP,0
110-04670,2020,WE,0
110-04670,2021,AMP,0.497857665
110-04670,2021,MIDD,0.213367571
110-04670,2021,PMP,0.426735142
110-04670,2021,WE,0.284490095
110-04670,2022,AMP,0.49752541
110-04670,2022,MIDD,0.213225176
110-04670,2022,PMP,0.426450351
110-04670,2022,WE,0.284300234
110-04670,2023,AMP,0.497193286
110-04670,2023,MIDD,0.213082837
110-04670,2023,PMP,0.426165674
110-04670,2023,WE,0.284110449
110-04670,2024,AMP,0.496861294
110-04670,2024,MIDD,0.212940555
110-04670,2024,PMP,0.425881109
110-04670,2024,WE,0.28392074
110-04681,2017,AMP,1
110-04681,2017,MIDD,3
110-04681,2017,PMP,1
110-04681,2017,WE,2
110-04681,2018,AMP,1
110-04681,2018,MIDD,1
110-04681,2018,PMP,0
110-04681,2018,WE,0
110-04681,2019,AMP,1
110-04681,2019,MIDD,2
110-04681,2019,PMP,1
110-04681,2019,WE,2
110-04681,2020,AMP,1
110-04681,2020,MIDD,0
110-04681,2020,PMP,1
110-04681,2020,WE,0
110-04681,2021,AMP,1.680198982
110-04681,2021,MIDD,5.460646693
110-04681,2021,PMP,2.940348219
110-04681,2021,WE,6.300746184
110-04681,2022,AMP,1.696353529
110-04681,2022,MIDD,5.51314897
110-04681,2022,PMP,2.968618676
110-04681,2022,WE,6.361325734
110-04681,2023,AMP,1.712772122
110-04681,2023,MIDD,5.566509397
110-04681,2023,PMP,2.997351214
110-04681,2023,WE,6.422895458
110-04681,2024,AMP,1.729458321
110-04681,2024,MIDD,5.620739542
110-04681,2024,PMP,3.026552061
110-04681,2024,WE,6.485468702
110-04682,2017,AMP,1
110-04682,2017,MIDD,0
110-04682,2017,PMP,2
110-04682,2017,WE,0
110-04682,2018,AMP,1
110-04682,2018,MIDD,0
110-04682,2018,PMP,2
110-04682,2018,WE,2
110-04682,2019,AMP,1
110-04682,2019,MIDD,1
110-04682,2019,PMP,4
110-04682,2019,WE,1
110-04682,2020,AMP,0
110-04682,2020,MIDD,0
110-04682,2020,PMP,3
110-04682,2020,WE,3
110-04682,2021,AMP,4.182278304
110-04682,2021,MIDD,8.364556607
110-04682,2021,PMP,3.833755112
110-04682,2021,WE,3.833755112
110-04682,2022,AMP,4.23037991
110-04682,2022,MIDD,8.46075982
110-04682,2022,PMP,3.877848251
110-04682,2022,WE,3.877848251
110-04682,2023,AMP,4.279055909
110-04682,2023,MIDD,8.558111818
110-04682,2023,PMP,3.922467916
110-04682,2023,WE,3.922467916
110-04682,2024,AMP,4.328684501
110-04682,2024,MIDD,8.657369003
110-04682,2024,PMP,3.967960793
110-04682,2024,WE,3.967960793
110-04683,2017,AMP,3
110-04683,2017,MIDD,4
110-04683,2017,PMP,2
110-04683,2017,WE,1
110-04683,2018,AMP,2
110-04683,2018,MIDD,2
110-04683,2018,PMP,2
110-04683,2018,WE,0
110-04683,2019,AMP,2
110-04683,2019,MIDD,0
110-04683,2019,PMP,3
110-04683,2019,WE,2
110-04683,2020,AMP,2
110-04683,2020,MIDD,2
110-04683,2020,PMP,6
110-04683,2020,WE,2
110-04683,2021,AMP,2.484577469
110-04683,2021,MIDD,4.969154938
110-04683,2021,PMP,3.588834122
110-04683,2021,WE,3.312769959
110-04683,2022,AMP,2.512411367
110-04683,2022,MIDD,5.024822733
110-04683,2022,PMP,3.629038641
110-04683,2022,WE,3.349881822
110-04683,2023,AMP,2.540683429
110-04683,2023,MIDD,5.081366859
110-04683,2023,PMP,3.669876065
110-04683,2023,WE,3.387577906
110-04683,2024,AMP,2.569400585
110-04683,2024,MIDD,5.13880117
110-04683,2024,PMP,3.711356401
110-04683,2024,WE,3.425867447
110-04684,2017,AMP,0
110-04684,2017,MIDD,1
110-04684,2017,PMP,2
110-04684,2017,WE,0
110-04684,2018,AMP,3
110-04684,2018,MIDD,3
110-04684,2018,PMP,1
110-04684,2018,WE,2
110-04684,2019,AMP,0
110-04684,2019,MIDD,1
110-04684,2019,PMP,1
110-04684,2019,WE,0
110-04684,2020,AMP,0
110-04684,2020,MIDD,0
110-04684,2020,PMP,1
110-04684,2020,WE,2
110-04684,2021,AMP,9.73231586
110-04684,2021,MIDD,5.500874182
110-04684,2021,PMP,2.115720839
110-04684,2021,WE,6.770306685
110-04684,2022,AMP,9.813284926
110-04684,2022,MIDD,5.546639306
110-04684,2022,PMP,2.13332281
110-04684,2022,WE,6.826632992
110-04684,2023,AMP,9.895246726
110-04684,2023,MIDD,5.592965541
110-04684,2023,PMP,2.151140593
110-04684,2023,WE,6.883649896
110-04684,2024,AMP,9.978214197
110-04684,2024,MIDD,5.639860198
110-04684,2024,PMP,2.169176999
110-04684,2024,WE,6.941366398
110-04685,2017,AMP,1
110-04685,2017,MIDD,1
110-04685,2017,PMP,0
110-04685,2017,WE,0
110-04685,2018,AMP,2
110-04685,2018,MIDD,2
110-04685,2018,PMP,3
110-04685,2018,WE,0
110-04685,2019,AMP,0
110-04685,2019,MIDD,0
110-04685,2019,PMP,2
110-04685,2019,WE,0
110-04685,2020,AMP,0
110-04685,2020,MIDD,2
110-04685,2020,PMP,1
110-04685,2020,WE,1
110-04685,2021,AMP,2.068330889
110-04685,2021,MIDD,1.477379206
110-04685,2021,PMP,1.329641286
110-04685,2021,WE,2.807020492
110-04685,2022,AMP,2.094930013
110-04685,2022,MIDD,1.49637858
110-04685,2022,PMP,1.346740722
110-04685,2022,WE,2.843119303
110-04685,2023,AMP,2.122048477
110-04685,2023,MIDD,1.515748912
110-04685,2023,PMP,1.364174021
110-04685,2023,WE,2.879922933
110-04685,2024,AMP,2.149695521
110-04685,2024,MIDD,1.5354968
110-04685,2024,PMP,1.38194712
110-04685,2024,WE,2.917443921
110-04686,2017,AMP,0
110-04686,2017,MIDD,2
110-04686,2017,PMP,1
110-04686,2017,WE,2
110-04686,2018,AMP,0
110-04686,2018,MIDD,0
110-04686,2018,PMP,0
110-04686,2018,WE,0
110-04686,2019,AMP,0
110-04686,2019,MIDD,1
110-04686,2019,PMP,0
110-04686,2019,WE,1
110-04686,2020,AMP,0
110-04686,2020,MIDD,1
110-04686,2020,PMP,0
110-04686,2020,WE,1
110-04686,2021,AMP,3.381263553
110-04686,2021,MIDD,1.245728678
110-04686,2021,PMP,2.313496116
110-04686,2021,WE,1.245728678
110-04686,2022,AMP,3.423587054
110-04686,2022,MIDD,1.261321546
110-04686,2022,PMP,2.3424543
110-04686,2022,WE,1.261321546
110-04686,2023,AMP,3.466744834
110-04686,2023,MIDD,1.277221781
110-04686,2023,PMP,2.371983307
110-04686,2023,WE,1.277221781
110-04686,2024,AMP,3.510575282
110-04686,2024,MIDD,1.293369841
110-04686,2024,PMP,2.401972561
110-04686,2024,WE,1.293369841
110-04687,2017,AMP,1
110-04687,2017,MIDD,0
110-04687,2017,PMP,0
110-04687,2017,WE,0
110-04687,2018,AMP,0
110-04687,2018,MIDD,0
110-04687,2018,PMP,1
110-04687,2018,WE,0
110-04687,2019,AMP,0
110-04687,2019,MIDD,0
110-04687,2019,PMP,0
110-04687,2019,WE,1
110-04687,2020,AMP,0
110-04687,2020,MIDD,1
110-04687,2020,PMP,0
110-04687,2020,WE,0
110-04687,2021,AMP,2.424887082
110-04687,2021,MIDD,2.424887082
110-04687,2021,PMP,2.424887082
110-04687,2021,WE,2.424887082
110-04687,2022,AMP,2.453448211
110-04687,2022,MIDD,2.453448211
110-04687,2022,PMP,2.453448211
110-04687,2022,WE,2.453448211
110-04687,2023,AMP,2.482524302
110-04687,2023,MIDD,2.482524302
110-04687,2023,PMP,2.482524302
110-04687,2023,WE,2.482524302
110-04687,2024,AMP,2.512123571
110-04687,2024,MIDD,2.512123571
110-04687,2024,PMP,2.512123571
110-04687,2024,WE,2.512123571
110-04688,2017,AMP,0
110-04688,2017,MIDD,0
110-04688,2017,PMP,0
110-04688,2017,WE,0
110-04688,2018,AMP,0
110-04688,2018,MIDD,0
110-04688,2018,PMP,0
110-04688,2018,WE,0
110-04688,2019,AMP,0
110-04688,2019,MIDD,0
110-04688,2019,PMP,0
110-04688,2019,WE,0
110-04688,2020,AMP,0
110-04688,2020,MIDD,0
110-04688,2020,PMP,0
110-04688,2020,WE,1
110-04688,2021,AMP,2.054109323
110-04688,2021,MIDD,2.054109323
110-04688,2021,PMP,2.054109323
110-04688,2021,WE,2.054109323
110-04688,2022,AMP,2.078577219
110-04688,2022,MIDD,2.078577219
110-04688,2022,PMP,2.078577219
110-04688,2022,WE,2.078577219
110-04688,2023,AMP,2.103484605
110-04688,2023,MIDD,2.103484605
110-04688,2023,PMP,2.103484605
110-04688,2023,WE,2.103484605
110-04688,2024,AMP,2.128747073
110-04688,2024,MIDD,2.128747073
110-04688,2024,PMP,2.128747073
110-04688,2024,WE,2.128747073
110-04689,2017,AMP,0
110-04689,2017,MIDD,0
110-04689,2017,PMP,1
110-04689,2017,WE,2
110-04689,2018,AMP,1
110-04689,2018,MIDD,3
110-04689,2018,PMP,0
110-04689,2018,WE,0
110-04689,2019,AMP,0
110-04689,2019,MIDD,0
110-04689,2019,PMP,0
110-04689,2019,WE,0
110-04689,2020,AMP,0
110-04689,2020,MIDD,0
110-04689,2020,PMP,0
110-04689,2020,WE,0
110-04689,2021,AMP,1.186917157
110-04689,2021,MIDD,1.526036344
110-04689,2021,PMP,1.35647675
110-04689,2021,WE,1.526036344
110-04689,2022,AMP,1.201821724
110-04689,2022,MIDD,1.545199359
110-04689,2022,PMP,1.373510541
110-04689,2022,WE,1.545199359
110-04689,2023,AMP,1.216941027
110-04689,2023,MIDD,1.564638463
110-04689,2023,PMP,1.390789745
110-04689,2023,WE,1.564638463
110-04689,2024,AMP,1.232379077
110-04689,2024,MIDD,1.584487384
110-04689,2024,PMP,1.40843323
110-04689,2024,WE,1.584487384
110-04690,2017,AMP,0
110-04690,2017,MIDD,1
110-04690,2017,PMP,0
110-04690,2017,WE,1
110-04690,2018,AMP,0
110-04690,2018,MIDD,0
110-04690,2018,PMP,0
110-04690,2018,WE,0
110-04690,2019,AMP,1
110-04690,2019,MIDD,0
110-04690,2019,PMP,1
110-04690,2019,WE,0
110-04690,2020,AMP,0
110-04690,2020,MIDD,0
110-04690,2020,PMP,1
110-04690,2020,WE,0
110-04690,2021,AMP,2.046619491
110-04690,2021,MIDD,2.455943389
110-04690,2021,PMP,2.046619491
110-04690,2021,WE,2.455943389
110-04690,2022,AMP,2.074828377
110-04690,2022,MIDD,2.489794052
110-04690,2022,PMP,2.074828377
110-04690,2022,WE,2.489794052
110-04690,2023,AMP,2.10361933
110-04690,2023,MIDD,2.524343196
110-04690,2023,PMP,2.10361933
110-04690,2023,WE,2.524343196
110-04690,2024,AMP,2.132923808
110-04690,2024,MIDD,2.55950857
110-04690,2024,PMP,2.132923808
110-04690,2024,WE,2.55950857
110-04691,2017,AMP,1
110-04691,2017,MIDD,1
110-04691,2017,PMP,0
110-04691,2017,WE,1
110-04691,2018,AMP,4
110-04691,2018,MIDD,0
110-04691,2018,PMP,2
110-04691,2018,WE,3
110-04691,2019,AMP,0
110-04691,2019,MIDD,0
110-04691,2019,PMP,0
110-04691,2019,WE,0
110-04691,2020,AMP,0
110-04691,2020,MIDD,0
110-04691,2020,PMP,0
110-04691,2020,WE,1
110-04691,2021,AMP,0.148562359
110-04691,2021,MIDD,0.297124719
110-04691,2021,PMP,0.198083146
110-04691,2021,WE,0.123801966
110-04691,2022,AMP,0.150838996
110-04691,2022,MIDD,0.301677993
110-04691,2022,PMP,0.201118662
110-04691,2022,WE,0.125699164
110-04691,2023,AMP,0.153166517
110-04691,2023,MIDD,0.306333034
110-04691,2023,PMP,0.204222023
110-04691,2023,WE,0.127638764
110-04691,2024,AMP,0.15553956
110-04691,2024,MIDD,0.311079121
110-04691,2024,PMP,0.20738608
110-04691,2024,WE,0.1296163
110-04692,2017,AMP,0
110-04692,2017,MIDD,0
110-04692,2017,PMP,0
110-04692,2017,WE,0
110-04692,2018,AMP,0
110-04692,2018,MIDD,0
110-04692,2018,PMP,0
110-04692,2018,WE,0
110-04692,2019,AMP,0
110-04692,2019,MIDD,1
110-04692,2019,PMP,1
110-04692,2019,WE,0
110-04692,2020,AMP,0
110-04692,2020,MIDD,0
110-04692,2020,PMP,0
110-04692,2020,WE,0
110-04692,2021,AMP,2.53702594
110-04692,2021,MIDD,1.691350627
110-04692,2021,PMP,1.691350627
110-04692,2021,WE,2.53702594
110-04692,2022,AMP,2.575904476
110-04692,2022,MIDD,1.717269651
110-04692,2022,PMP,1.717269651
110-04692,2022,WE,2.575904476
110-04692,2023,AMP,2.615651964
110-04692,2023,MIDD,1.743767976
110-04692,2023,PMP,1.743767976
110-04692,2023,WE,2.615651964
110-04692,2024,AMP,2.656176846
110-04692,2024,MIDD,1.770784564
110-04692,2024,PMP,1.770784564
110-04692,2024,WE,2.656176846
110-04693,2017,AMP,0
110-04693,2017,MIDD,0
110-04693,2017,PMP,0
110-04693,2017,WE,0
110-04693,2018,AMP,0
110-04693,2018,MIDD,2
110-04693,2018,PMP,0
110-04693,2018,WE,1
110-04693,2019,AMP,1
110-04693,2019,MIDD,0
110-04693,2019,PMP,0
110-04693,2019,WE,0
110-04693,2020,AMP,0
110-04693,2020,MIDD,2
110-04693,2020,PMP,0
110-04693,2020,WE,0
110-04693,2021,AMP,1.008104554
110-04693,2021,MIDD,0.806483643
110-04693,2021,PMP,1.108915009
110-04693,2021,WE,0.705673188
110-04693,2022,AMP,1.023700389
110-04693,2022,MIDD,0.818960311
110-04693,2022,PMP,1.126070428
110-04693,2022,WE,0.716590272
110-04693,2023,AMP,1.039644849
110-04693,2023,MIDD,0.831715879
110-04693,2023,PMP,1.143609334
110-04693,2023,WE,0.727751394
110-04693,2024,AMP,1.055901973
110-04693,2024,MIDD,0.844721578
110-04693,2024,PMP,1.16149217
110-04693,2024,WE,0.739131381
110-04694,2017,AMP,0
110-04694,2017,MIDD,0
110-04694,2017,PMP,0
110-04694,2017,WE,0
110-04694,2018,AMP,0
110-04694,2018,MIDD,0
110-04694,2018,PMP,0
110-04694,2018,WE,1
110-04694,2019,AMP,1
110-04694,2019,MIDD,0
110-04694,2019,PMP,1
110-04694,2019,WE,0
110-04694,2020,AMP,0
110-04694,2020,MIDD,0
110-04694,2020,PMP,0
110-04694,2020,WE,0
110-04694,2021,AMP,0.464442025
110-04694,2021,MIDD,0.619256033
110-04694,2021,PMP,0.464442025
110-04694,2021,WE,0.619256033
110-04694,2022,AMP,0.472830977
110-04694,2022,MIDD,0.630441302
110-04694,2022,PMP,0.472830977
110-04694,2022,WE,0.630441302
110-04694,2023,AMP,0.481413487
110-04694,2023,MIDD,0.64188465
110-04694,2023,PMP,0.481413487
110-04694,2023,WE,0.64188465
110-04694,2024,AMP,0.490212831
110-04694,2024,MIDD,0.653617108
110-04694,2024,PMP,0.490212831
110-04694,2024,WE,0.653617108
110-04697,2017,AMP,1
110-04697,2017,MIDD,2
110-04697,2017,PMP,4
110-04697,2017,WE,0
110-04697,2018,AMP,3
110-04697,2018,MIDD,2
110-04697,2018,PMP,2
110-04697,2018,WE,0
110-04697,2019,AMP,0
110-04697,2019,MIDD,1
110-04697,2019,PMP,2
110-04697,2019,WE,0
110-04697,2020,AMP,2
110-04697,2020,MIDD,0
110-04697,2020,PMP,2
110-04697,2020,WE,0
110-04697,2021,AMP,1.380711622
110-04697,2021,MIDD,1.24264046
110-04697,2021,PMP,1.380711622
110-04697,2021,WE,3.175636732
110-04697,2022,AMP,1.398906987
110-04697,2022,MIDD,1.259016288
110-04697,2022,PMP,1.398906987
110-04697,2022,WE,3.217486071
110-04697,2023,AMP,1.41736337
110-04697,2023,MIDD,1.275627033
110-04697,2023,PMP,1.41736337
110-04697,2023,WE,3.259935752
110-04697,2024,AMP,1.436132125
110-04697,2024,MIDD,1.292518912
110-04697,2024,PMP,1.436132125
110-04697,2024,WE,3.303103887
110-04698,2017,AMP,0
110-04698,2017,MIDD,0
110-04698,2017,PMP,0
110-04698,2017,WE,0
