TMC,YEAR,PERIOD,Crashes
110+04126,2020,MIDD,1
110+04126,2020,PMP,1
110+04126,2020,WE,0
110+04126,2021,AMP,0.661162196
110+04126,2021,MIDD,0.42503284
110+04126,2021,PMP,0.755613938
110+04126,2021,WE,0.897291551
110+04126,2022,AMP,0.660617958
110+04126,2022,MIDD,0.424682973
110+04126,2022,PMP,0.754991952
110+04126,2022,WE,0.896552943
110+04126,2023,AMP,0.660074049
110+04126,2023,MIDD,0.424333317
110+04126,2023,PMP,0.754370342
110+04126,2023,WE,0.895814781
110+04126,2024,AMP,0.659544768
110+04126,2024,MIDD,0.423993065
110+04126,2024,PMP,0.753765449
110+04126,2024,WE,0.895096471
110+04127,2017,AMP,11
110+04127,2017,MIDD,6
110+04127,2017,PMP,4
110+04127,2017,WE,2
110+04127,2018,AMP,14
110+04127,2018,MIDD,3
110+04127,2018,PMP,7
110+04127,2018,WE,5
110+04127,2019,AMP,7
110+04127,2019,MIDD,11
110+04127,2019,PMP,14
110+04127,2019,WE,5
110+04127,2020,AMP,7
110+04127,2020,MIDD,3
110+04127,2020,PMP,0
110+04127,2020,WE,0
110+04127,2021,AMP,6.039842746
110+04127,2021,MIDD,3.561958543
110+04127,2021,PMP,5.730107221
110+04127,2021,WE,3.716826305
110+04127,2022,AMP,6.035161773
110+04127,2022,MIDD,3.559197969
110+04127,2022,PMP,5.725666298
110+04127,2022,WE,3.713945707
110+04127,2023,AMP,6.030483354
110+04127,2023,MIDD,3.556438901
110+04127,2023,PMP,5.721227797
110+04127,2023,WE,3.711066679
110+04127,2024,AMP,6.025807486
110+04127,2024,MIDD,3.553681338
110+04127,2024,PMP,5.716791717
110+04127,2024,WE,3.708189222
110+04128,2017,AMP,2
110+04128,2017,MIDD,1
110+04128,2017,PMP,2
110+04128,2017,WE,2
110+04128,2018,AMP,2
110+04128,2018,MIDD,0
110+04128,2018,PMP,2
110+04128,2018,WE,1
110+04128,2019,AMP,0
110+04128,2019,MIDD,2
110+04128,2019,PMP,0
110+04128,2019,WE,2
110+04128,2020,AMP,1
110+04128,2020,MIDD,1
110+04128,2020,PMP,0
110+04128,2020,WE,0
110+04128,2021,AMP,0.233083447
110+04128,2021,MIDD,0.233083447
110+04128,2021,PMP,0.279700136
110+04128,2021,WE,0.186466758
110+04128,2022,AMP,0.232939288
110+04128,2022,MIDD,0.232939288
110+04128,2022,PMP,0.279527145
110+04128,2022,WE,0.18635143
110+04128,2023,AMP,0.232802758
110+04128,2023,MIDD,0.232802758
110+04128,2023,PMP,0.27936331
110+04128,2023,WE,0.186242207
110+04128,2024,AMP,0.232658688
110+04128,2024,MIDD,0.232658688
110+04128,2024,PMP,0.279190426
110+04128,2024,WE,0.186126951
110+04129,2017,AMP,7
110+04129,2017,MIDD,2
110+04129,2017,PMP,4
110+04129,2017,WE,4
