TMC,YEAR,PERIOD,V/C_STRAIGHT_AVG,AVG_HOURLY_VAL
110+04128,2020,PMP,0.238683347,2102
110+04128,2020,WE,0.261533894,2303.142857
110+04128,2021,AMP,0.291909986,2570.5
110+04128,2021,MIDD,0.256172879,2256
110+04128,2021,PMP,0.23850135,2100.25
110+04128,2021,WE,0.261334473,2301.357143
110+04128,2022,AMP,0.291777727,2569.25
110+04128,2022,MIDD,0.256056812,2255
110+04128,2022,PMP,0.23839329,2099.25
110+04128,2022,WE,0.261216067,2300.285714
110+04128,2023,AMP,0.291652429,2568
110+04128,2023,MIDD,0.255946853,2254
110+04128,2023,PMP,0.238290916,2098.5
110+04128,2023,WE,0.261103893,2299.285714
110+04128,2024,AMP,0.29152017,2567
110+04128,2024,MIDD,0.255830786,2252.833333
110+04128,2024,PMP,0.238182856,2097.5
110+04128,2024,WE,0.260985487,2298.214286
110+04129,2017,AMP,0.450814332,3871
110+04129,2017,MIDD,0.419303233,3600.166667
110+04129,2017,PMP,0.39768012,3414.25
110+04129,2017,WE,0.422128372,3624.428571
110+04129,2018,AMP,0.437779881,3758.75
110+04129,2018,MIDD,0.407179866,3496
110+04129,2018,PMP,0.386181945,3315.75
110+04129,2018,WE,0.409923321,3519.571429
110+04129,2019,AMP,0.444229289,3814.25
110+04129,2019,MIDD,0.413178473,3547.666667
110+04129,2019,PMP,0.391871208,3364.75
110+04129,2019,WE,0.415962345,3571.571429
110+04129,2020,AMP,0.384204353,3299
110+04129,2020,MIDD,0.35734917,3068.166667
110+04129,2020,PMP,0.338920975,2910
110+04129,2020,WE,0.359756881,3088.928571
110+04129,2021,AMP,0.383912739,3296.25
110+04129,2021,MIDD,0.35707794,3066.166667
110+04129,2021,PMP,0.338663732,2907.75
110+04129,2021,WE,0.359483823,3086.642857
110+04129,2022,AMP,0.383743196,3295
110+04129,2022,MIDD,0.356920247,3064.666667
110+04129,2022,PMP,0.338514172,2906.5
110+04129,2022,WE,0.359325068,3085.285714
110+04129,2023,AMP,0.383573654,3293.25
110+04129,2023,MIDD,0.356762555,3063.166667
110+04129,2023,PMP,0.338364612,2905
110+04129,2023,WE,0.359166314,3083.714286
110+04129,2024,AMP,0.383397329,3291.75
110+04129,2024,MIDD,0.356598556,3061.833333
110+04129,2024,PMP,0.338209069,2904
110+04129,2024,WE,0.359001209,3082.428571
110+04130,2017,AMP,0.452749158,3871
110+04130,2017,MIDD,0.421102818,3600.166667
110+04130,2017,PMP,0.399386901,3414.25
110+04130,2017,WE,0.423940082,3624.428571
110+04130,2018,AMP,0.439658764,3758.75
110+04130,2018,MIDD,0.408927419,3496
110+04130,2018,PMP,0.387839378,3315.75
110+04130,2018,WE,0.411682649,3519.571429
110+04130,2019,AMP,0.446135853,3814.25
110+04130,2019,MIDD,0.414951771,3547.666667
110+04130,2019,PMP,0.393553059,3364.75
110+04130,2019,WE,0.417747591,3571.571429
110+04130,2020,AMP,0.385853299,3299
110+04130,2020,MIDD,0.358882857,3068.166667
110+04130,2020,PMP,0.340375572,2910
110+04130,2020,WE,0.361300902,3088.928571
110+04130,2021,AMP,0.385560433,3296.25
110+04130,2021,MIDD,0.358610463,3066.166667
110+04130,2021,PMP,0.340117224,2907.75
110+04130,2021,WE,0.361026672,3086.642857
110+04130,2022,AMP,0.385390163,3295
110+04130,2022,MIDD,0.358452094,3064.666667
110+04130,2022,PMP,0.339967022,2906.5
