TMC,PERIOD,TRUCK_PCT
110+04904,AMP,3.9272403
110+04904,MIDD,6.8412131
110+04904,PMP,3.7145682
110+04904,WE,5.0444773
110+04905,AMP,3.8323697
110+04905,MIDD,6.8394012
110+04905,PMP,3.6765164
110+04905,WE,4.9433379
110+04906,AMP,3.8340648
110+04906,MIDD,6.8388351
110+04906,PMP,3.6833264
110+04906,WE,4.9454573
110+04907,AMP,3.8381123
110+04907,MIDD,6.8414564
110+04907,PMP,3.6846213
110+04907,WE,4.9482654
110+04908,AMP,3.8413907
110+04908,MIDD,6.8483407
110+04908,PMP,3.6858486
110+04908,WE,4.9524062
110+04911,AMP,4.9318222
110+04911,MIDD,8.964937
110+04911,PMP,3.2750966
110+04911,WE,5.9403054
110+04912,AMP,4.937271
110+04912,MIDD,8.9895028
110+04912,PMP,3.2638024
110+04912,WE,5.9594739
110+04913,AMP,4.9252494
110+04913,MIDD,8.9743634
110+04913,PMP,3.2854043
110+04913,WE,5.8964472
110+04914,AMP,5.0026613
110+04914,MIDD,8.8994004
110+04914,PMP,3.3087065
110+04914,WE,6.0337392
110+04915,AMP,5.0094243
110+04915,MIDD,8.8997892
