tmc,year,AMP Hour TMS,AMP TMS,AMP Lane TMS,AMP Hour Lane TMS,AMP Hour NPMRDS,AMP NPMRDS,AMP Lane NPMRDS,AMP Hour Lane NPMRDS,MIDD Hour TMS,MIDD TMS,MIDD Lane TMS,MIDD Hour Lane TMS,MIDD Hour NPMRDS,MIDD NPMRDS,MIDD Lane NPMRDS,MIDD Hour Lane NPMRDS,PMP Hour TMS,PMP TMS,PMP Lane TMS,PMP Hour Lane TMS,PMP Hour NPMRDS,PMP NPMRDS,PMP Lane NPMRDS,PMP Hour Lane NPMRDS,WE Hour TMS,WE TMS,WE Lane TMS,WE Hour Lane TMS,WE Hour NPMRDS,WE NPMRDS,WE Lane NPMRDS,WE Hour Lane NPMRDS
110-04926,2019,3323.618533,13294.47413,2658.894826,664.7237065,3350.258088,13401.03235,2680.20647,670.0516175,4576.902368,27461.41421,5492.282842,915.3804737,4613.587277,27681.52366,5536.304732,922.7174553,4631.366208,18525.46483,3705.092966,926.2732415,4668.487655,18673.95062,3734.790124,933.697531,4234.382369,59281.35317,11856.27063,846.8764739,4268.321902,59756.50663,11951.30133,853.6643804
110-04926,2020,2904.557848,11618.23139,2323.646278,580.9115695,3319.69833,13278.79332,2655.758664,663.939666,3999.820547,23998.92328,4799.784656,799.9641093,4571.50392,27429.02352,5485.804704,914.300784,4047.417275,16189.6691,3237.93382,809.483455,4625.90352,18503.61408,3700.722816,925.180704,3700.487412,51806.82377,10361.36475,740.0974824,4229.387923,59211.43092,11842.28618,845.8775846
110-04943,2017,4640.635693,18562.54277,6187.514257,1546.878564,3016.416348,12065.66539,4021.888463,1005.472116,4257.699472,25546.19683,8515.398943,1419.233157,2767.507545,16605.04527,5535.01509,922.502515,4968.263953,19873.05581,6624.351937,1656.087984,3229.37494,12917.49976,4305.833253,1076.458313,4570.128244,63981.79541,21327.26514,1523.376081,2970.586459,41588.21042,13862.73681,990.1954862
110-04943,2018,4659.776748,18639.10699,6213.035663,1553.258916,3107.210435,12428.84174,4142.947247,1035.736812,4275.261045,25651.56627,8550.52209,1425.087015,2850.809482,17104.85689,5701.618963,950.2698272,4988.756365,19955.02546,6651.675153,1662.918788,3326.579078,13306.31631,4435.43877,1108.859693,4588.97848,64245.69872,21415.23291,1529.659493,3060.001068,42840.01495,14280.00498,1020.000356
110-04943,2019,4724.440775,18897.7631,6299.254367,1574.813592,4715.625815,18862.50326,6287.501087,1571.875272,4334.589123,26007.53474,8669.178247,1444.863041,4326.501557,25959.00934,8653.003113,1442.167186,5057.985665,20231.94266,6743.980887,1685.995222,5048.54837,20194.19348,6731.397827,1682.849457,4652.660036,65137.2405,21712.4135,1550.886679,4643.979006,65015.70608,21671.90203,1547.993002
110-04943,2020,3773.936233,15095.74493,5031.914977,1257.978744,4722.992605,18891.97042,6297.323473,1574.330868,3462.518363,20775.11018,6925.036727,1154.172788,4333.260452,25999.56271,8666.520903,1444.420151,4040.375628,16161.50251,5387.167503,1346.791876,5056.435253,20225.74101,6741.91367,1685.478418,3716.596972,52032.35761,17344.1192,1238.865657,4651.233866,65117.27413,21705.75804,1550.411289
110-04944,2017,3662.073415,14648.29366,4882.764553,1220.691138,3528.72374,14114.89496,4704.964987,1176.241247,3349.958172,20099.74903,6699.916343,1116.652724,3227.973772,19367.84263,6455.947543,1075.991257,3869.428015,15477.71206,5159.237353,1289.809338,3728.52779,14914.11116,4971.370387,1242.842597,3587.55391,50225.75474,16741.91825,1195.851303,3456.917767,48396.84874,16132.28291,1152.305922
110-04944,2018,3665.43517,14661.74068,4887.246893,1221.811723,3672.09643,14688.38572,4896.128573,1224.032143,3353.033408,20118.20045,6706.066817,1117.677803,3359.126935,20154.76161,6718.25387,1119.708978,3872.98012,15491.92048,5163.973493,1290.993373,3880.018555,15520.07422,5173.358073,1293.339518,3590.847259,50271.86162,16757.28721,1196.949086,3597.372967,50363.22154,16787.74051,1199.124322
110-04944,2019,3693.263045,14773.05218,4924.350727,1231.087682,3767.470705,15069.88282,5023.294273,1255.823568,3378.489538,20270.93723,6756.979077,1126.163179,3446.372547,20678.23528,6892.745093,1148.790849,3902.38367,15609.53468,5203.178227,1300.794557,3980.79313,15923.17252,5307.724173,1326.931043,3618.108863,50653.52408,16884.50803,1206.036288,3690.806474,51671.29063,17223.76354,1230.268825
110-04944,2020,2942.533013,11770.13205,3923.37735,980.8443375,3762.303563,15049.21425,5016.40475,1254.101188,2691.743557,16150.46134,5383.487113,897.2478522,3441.645793,20649.87476,6883.291587,1147.215264,3109.145663,12436.58265,4145.52755,1036.381888,3975.333413,15901.33365,5300.44455,1325.111138,2882.655432,40357.17605,13452.39202,960.885144,3685.744475,51600.42265,17200.14088,1228.581492
