year,tmc_code,Urban_Code,miles,nhs_pct,miles on NHS
2017,110-05544,15724,1.013406,100,1.013
2017,110-05545,15724,1.293595,100,1.294
2017,110-05546,15724,0.211291,100,0.211
2017,110-05550,99999,0.166472,100,0.166
2017,110-05601,92242,1.452107,100,1.452
2017,110-05602,92242,0.778814,100,0.779
2017,110-05604,92242,0.553561,100,0.554
2017,110-05605,92242,0.214075,100,0.214
2017,110-05606,92242,0.544918,100,0.545
2017,110-05607,92242,0.102315,100,0.102
2017,110-05610,92242,1.095284,1,0.011
2017,110-05614,92242,0.844735,100,0.845
2017,110-05615,92242,1.831945,100,1.832
2017,110-05616,92242,1.032967,100,1.033
2017,110-05617,92242,0.796219,100,0.796
2017,110-05618,92242,0.495264,100,0.495
2017,110-05619,92242,0.24748,100,0.247
2017,110-05620,92242,0.261802,100,0.262
2017,110-05621,92242,0.324188,100,0.324
2017,110-05622,92242,1.398545,100,1.399
2017,110-05623,92242,0.799033,100,0.799
2017,110-05624,92242,1.068858,100,1.069
2017,110-05625,92242,1.434938,100,1.435
2017,110-05626,92242,0.692481,100,0.692
2017,110-05627,92242,0.246374,100,0.246
2017,110-05628,92242,0.009985,100,0.01
2017,110-05629,92242,0.280624,100,0.281
2017,110-05630,92242,1.727275,100,1.727
2017,110-05631,92242,0.901236,100,0.901
2017,110-05632,92242,0.255321,100,0.255
2017,110-05634,92242,1.144559,100,1.145
2017,110-05635,92242,1.068876,100,1.069
2017,110-05636,92242,0.378682,100,0.379
