tmc,year,AMP Hour TMS Vol,AMP TMS Vol,AMP Lane TMS Vol,AMP Hour Lane TMS Vol,AMP Hour NPMRDS Vol,AMP NPMRDS Vol,AMP Lane NPMRDS Vol,AMP Hour Lane NPMRDS Vol,MIDD Hour TMS Vol,MIDD TMS Vol,MIDD Lane TMS Vol,MIDD Hour Lane TMS Vol,MIDD Hour NPMRDS Vol,MIDD NPMRDS Vol,MIDD Lane NPMRDS Vol,MIDD Hour Lane NPMRDS Vol,PMP Hour TMS Vol,PMP TMS Vol,PMP Lane TMS Vol,PMP Hour Lane TMS Vol,PMP Hour NPMRDS Vol,PMP NPMRDS Vol,PMP Lane NPMRDS Vol,PMP Hour Lane NPMRDS Vol,WE Hour TMS Vol,WE TMS Vol,WE Lane TMS Vol,WE Hour Lane TMS Vol,WE Hour NPMRDS Vol,WE NPMRDS Vol,WE Lane NPMRDS Vol,WE Hour Lane NPMRDS Vol,AMP NPMRDS straight VoverC,MIDD NPMRDS straight VoverC,PMP NPMRDS straight VoverC,WE NPMRDS straight VoverC,AMP TMS straight VoverC,MIDD TMS straight VoverC,PMP TMS straight VoverC,WE TMS straight VoverC,AMP NPMRDS weighted VoverC,MIDD NPMRDS weighted VoverC,PMP NPMRDS weighted VoverC,WE NPMRDS weighted VoverC,AMP TMS weighted VoverC,MIDD TMS weighted VoverC,PMP TMS weighted VoverC,WE TMS weighted VoverC
110+04692,2017,30.23915608,120.9566243,60.47831215,15.11957804,24.57198205,98.2879282,49.1439641,12.28599103,24.61130263,147.6678158,73.8339079,12.30565132,19.99885463,119.9931278,59.9965639,9.999427317,24.93581126,99.74324505,49.87162253,12.46790563,20.26254653,81.05018612,40.52509306,10.13127327,23.02298032,368.3676851,184.1838426,11.51149016,18.70820263,299.3312421,149.6656211,9.354101316,0.605857367,0.51090797,0.484344996,0.530446948,0.745589649,0.62874154,0.596052199,0.652786902,0.62326212,0.522128096,0.526690293,0.556571613,0.767008558,0.642549427,0.648163829,0.684936845
110+04692,2018,30.9766794,123.9067176,61.9533588,15.4883397,26.6103174,106.4412696,53.2206348,13.3051587,25.21156442,151.2693865,75.63469325,12.60578221,21.65783242,129.9469945,64.97349725,10.82891621,25.5439877,102.1759508,51.0879754,12.77199385,21.94339851,87.77359403,43.88679702,10.97169925,23.58450343,377.3520548,188.6760274,11.79225171,20.26011613,324.161858,162.080929,10.13005806,0.656115441,0.553289645,0.524523176,0.574449453,0.763774342,0.644076344,0.610589721,0.668708165,0.674963982,0.565440522,0.570381169,0.602741253,0.785715651,0.658221001,0.663972337,0.701642235
110+04692,2019,25.71325393,102.8530157,51.42650785,12.85662696,28.74101808,114.9640723,57.48203615,14.37050904,20.92772273,125.5663364,62.7831682,10.46386137,23.39198528,140.3519117,70.17595585,11.69599264,21.20366207,84.81464829,42.40732415,10.60183104,23.7004168,94.80166718,47.40083359,11.8502084,19.57712502,313.2340003,156.6170002,9.788562509,21.8823532,350.1176512,175.0588256,10.9411766,0.708650914,0.597591808,0.566521995,0.620445892,0.633997058,0.534637634,0.506840915,0.555084121,0.729008667,0.610715611,0.616051859,0.65100303,0.652210193,0.546378891,0.551152984,0.582422174
110+04692,2020,22.21596589,88.86386355,44.43193178,11.10798294,29.30080808,117.2032323,58.60161615,14.65040404,18.08132008,108.4879205,54.24396025,9.040660042,23.84759195,143.0855517,71.54277585,11.92379598,18.31972861,73.27891443,36.63945722,9.159864304,24.1620308,96.64812318,48.32406159,12.0810154,16.91441865,270.6306984,135.3153492,8.457209325,22.3085567,356.9369072,178.4684536,11.15427835,0.722453337,0.609231129,0.577556167,0.632530342,0.547766419,0.46192098,0.437904923,0.479586518,0.743207599,0.622610545,0.628050727,0.663682643,0.563502365,0.472065295,0.476190059,0.503206291
110+04693,2017,30.23915608,120.9566243,60.47831215,15.11957804,24.57198205,98.2879282,49.1439641,12.28599103,24.61130263,147.6678158,73.8339079,12.30565132,19.99885463,119.9931278,59.9965639,9.999427317,24.93581126,99.74324505,49.87162253,12.46790563,20.26254653,81.05018612,40.52509306,10.13127327,23.02298032,368.3676851,184.1838426,11.51149016,18.70820263,299.3312421,149.6656211,9.354101316,0.611125692,0.515350647,0.488556692,0.53505953,0.752073038,0.634208857,0.601235261,0.65846331,0.628681791,0.52666834,0.531270208,0.561411366,0.773678198,0.648136813,0.653800036,0.690892817
110+04693,2018,30.9766794,123.9067176,61.9533588,15.4883397,26.6103174,106.4412696,53.2206348,13.3051587,25.21156442,151.2693865,75.63469325,12.60578221,21.65783242,129.9469945,64.97349725,10.82891621,25.5439877,102.1759508,51.0879754,12.77199385,21.94339851,87.77359403,43.88679702,10.97169925,23.58450343,377.3520548,188.6760274,11.79225171,20.26011613,324.161858,162.080929,10.13005806,0.661820793,0.558100859,0.529084248,0.579444665,0.770415858,0.649677008,0.615899197,0.674523019,0.680833234,0.570357396,0.575341006,0.607982482,0.792547961,0.663944662,0.669746009,0.707743472
110+04693,2019,25.71325393,102.8530157,51.42650785,12.85662696,28.74101808,114.9640723,57.48203615,14.37050904,20.92772273,125.5663364,62.7831682,10.46386137,23.39198528,140.3519117,70.17595585,11.69599264,21.20366207,84.81464829,42.40732415,10.60183104,23.7004168,94.80166718,47.40083359,11.8502084,19.57712502,313.2340003,156.6170002,9.788562509,21.8823532,350.1176512,175.0588256,10.9411766,0.714813096,0.602788259,0.571448273,0.625841074,0.639510076,0.539286657,0.511248228,0.55991094,0.735347872,0.616026182,0.621408832,0.656663926,0.657881586,0.551130012,0.555945619,0.587486714
110+04693,2020,22.21596589,88.86386355,44.43193178,11.10798294,29.30080808,117.2032323,58.60161615,14.65040404,18.08132008,108.4879205,54.24396025,9.040660042,23.84759195,143.0855517,71.54277585,11.92379598,18.31972861,73.27891443,36.63945722,9.159864304,24.1620308,96.64812318,48.32406159,12.0810154,16.91441865,270.6306984,135.3153492,8.457209325,22.3085567,356.9369072,178.4684536,11.15427835,0.72873554,0.614528791,0.582578395,0.638030606,0.552529605,0.465937684,0.441712792,0.483756835,0.749670273,0.628024549,0.633512037,0.669453797,0.568402386,0.476170211,0.480330842,0.507581998
110+04694,2017,31.41114688,125.6445875,62.82229375,15.70557344,25.52432798,102.0973119,51.04865595,12.76216399,24.01853688,144.1112213,72.05561065,12.00926844,19.51718017,117.103081,58.5515405,9.758590083,23.42015318,93.6806127,46.84030635,11.71007659,19.03094062,76.12376248,38.06188124,9.51547031,22.71477634,363.4364214,181.7182107,11.35738817,18.45775971,295.3241554,147.6620777,9.228879856,0.608630836,0.482444685,0.439376402,0.506192647,0.749002778,0.593713608,0.540712245,0.622938696,0.621366913,0.484901668,0.459907028,0.525636733,0.764676248,0.596737259,0.565977965,0.64686728
110+04694,2018,32.17725468,128.7090187,64.35450935,16.08862734,27.64166388,110.5666555,55.28332775,13.82083194,24.6043413,147.6260478,73.8130239,12.30217065,21.1362013,126.8172078,63.4086039,10.56810065,23.99136321,95.96545282,47.98272641,11.9956816,20.60962641,82.43850562,41.21925281,10.3048132,23.26878245,372.3005192,186.1502596,11.63439123,19.98889805,319.8223688,159.9111844,9.994449025,0.659118978,0.522465227,0.475824273,0.548183169,0.767270716,0.608194092,0.553900044,0.638131971,0.67291156,0.525126026,0.498057989,0.569240213,0.783326457,0.61129149,0.579781986,0.662644166
