tmc_code,year,obs AMP rel_unrel,obs MIDD rel_unrel,obs PMP rel_unrel,obs WE rel_unrel,obs rel_unrel,obs rel_unrel WD
110+07355,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07355,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07355,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07429,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07429,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07429,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07429,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07430,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07430,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07430,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07430,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07433,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07433,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07433,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07434,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07434,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07434,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07435,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07435,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07435,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07436,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07436,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07436,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07437,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07437,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07437,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07438,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07438,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07438,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07439,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07439,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07439,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07462,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07462,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07462,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07462,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07463,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07463,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07463,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07463,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07464,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07464,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07464,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07464,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07466,2020,Rel,Unrel,Unrel,Unrel,Unrel,Unrel
110+07467,2017,Rel,Unrel,Rel,Rel,Unrel,Unrel
110+07468,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07468,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07468,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07468,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07469,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07469,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07469,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07469,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07470,2017,Rel,Rel,Rel,Unrel,Unrel,Rel
110+07470,2018,Rel,Rel,Rel,Unrel,Unrel,Rel
110+07470,2019,Rel,Rel,Rel,Unrel,Unrel,Rel
110+07470,2020,Rel,Rel,Rel,Unrel,Unrel,Rel
110+07471,2017,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+07471,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07471,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07471,2020,Rel,Unrel,Rel,Rel,Unrel,Unrel
110+07475,2017,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110+07475,2018,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110+07475,2019,Rel,Unrel,Unrel,Unrel,Unrel,Unrel
110+07475,2020,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110+07476,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07476,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07476,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07476,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07477,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07477,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07477,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07477,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07478,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07478,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07478,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07478,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07479,2017,Rel,Rel,Unrel,Unrel,Unrel,Unrel
110+07479,2018,Rel,Unrel,Rel,Rel,Unrel,Unrel
110+07479,2019,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+07479,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07490,2017,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+07490,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07490,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07490,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07496,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07496,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07496,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07496,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07497,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07497,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07497,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07497,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07498,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07498,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07498,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07498,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07499,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07499,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07499,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07499,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07501,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07506,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07511,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07511,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07511,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07511,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07512,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07512,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07512,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07512,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07518,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07518,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07518,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07518,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07519,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07519,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07519,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07519,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07520,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07520,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07520,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07520,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07534,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07541,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07553,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07555,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07568,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07568,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07568,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07568,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07574,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07574,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07574,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07574,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07575,2017,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+07575,2018,Rel,Rel,Unrel,Unrel,Unrel,Unrel
110+07575,2019,Rel,Rel,Unrel,Unrel,Unrel,Unrel
110+07575,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07599,2017,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110+07599,2018,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110+07599,2019,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110+07599,2020,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+07610,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07610,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07610,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07610,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07611,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07611,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07611,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07611,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07612,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07612,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07612,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07612,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07613,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07613,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07613,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07613,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07614,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07614,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07614,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07614,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07615,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07615,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07615,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07615,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07616,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07616,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07616,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07616,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07617,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07617,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07617,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07617,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07618,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07618,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07618,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07618,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07619,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07619,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07619,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07619,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07621,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07621,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07621,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07621,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07623,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07623,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07624,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07624,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07624,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07624,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07625,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07625,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07625,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07625,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07626,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07626,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07626,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07626,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07627,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07627,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07627,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07627,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07628,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07628,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07628,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07628,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07630,2017,Rel,Rel,Unrel,Unrel,Unrel,Unrel
110+07630,2019,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110+07630,2020,Rel,Unrel,Rel,Unrel,Unrel,Unrel
110+07631,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07631,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07631,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07631,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07632,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07632,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07632,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07632,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07633,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07633,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07633,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07633,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07634,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07634,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07634,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07634,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07635,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07635,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07635,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07635,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07683,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07686,2017,Rel,Unrel,Rel,Unrel,Unrel,Unrel
110+07686,2018,Rel,Unrel,Unrel,Unrel,Unrel,Unrel
110+07686,2019,Rel,Unrel,Unrel,Unrel,Unrel,Unrel
110+07686,2020,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110+07687,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07687,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07687,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07687,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07689,2017,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110+07689,2018,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110+07689,2019,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110+07689,2020,Rel,Rel,Rel,Unrel,Unrel,Rel
110+07690,2017,Rel,Unrel,Unrel,Unrel,Unrel,Unrel
110+07690,2018,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110+07690,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07690,2020,Rel,Unrel,Rel,Rel,Unrel,Unrel
110+07691,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07691,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07691,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07691,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07692,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07707,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07707,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07707,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07708,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07708,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07708,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07708,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07709,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07709,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07709,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07709,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07710,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07710,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07710,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07710,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07711,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07711,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07711,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07711,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07712,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07712,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07712,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07712,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07713,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07713,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07713,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07713,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07714,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07714,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07714,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07714,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07715,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07715,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07715,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07715,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07717,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07717,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07717,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07717,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07718,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07718,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07718,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07718,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07719,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07719,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07720,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07720,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07720,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07720,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07721,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07721,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07721,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07721,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07722,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07722,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07722,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07722,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07723,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07723,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07723,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07723,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07724,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07724,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07724,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07724,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07725,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07725,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07725,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07725,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07726,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07726,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07726,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07726,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07727,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07727,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07727,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07727,2020,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+07728,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07728,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07728,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07728,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07729,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07729,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07729,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07729,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07730,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07730,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07730,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07730,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07732,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07732,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07732,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07732,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07733,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07733,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07733,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07733,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07734,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07734,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07734,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07734,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07735,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07735,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07735,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07735,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07739,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07739,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07739,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07739,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07740,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07740,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07740,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07740,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07741,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07741,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07741,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07741,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07742,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07742,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07742,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07742,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07744,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07744,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07744,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07744,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07745,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07745,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07745,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07745,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07746,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07746,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07746,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07746,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07747,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07747,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07747,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07747,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07748,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07748,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07748,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07748,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07749,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07749,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07749,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07749,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07750,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07750,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07750,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07750,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07751,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07751,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07751,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07751,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07752,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07752,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07752,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07752,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07753,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07753,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07753,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07753,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07754,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07758,2017,Unrel,Unrel,Rel,Rel,Unrel,Unrel
110+07758,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07758,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07758,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07760,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07763,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07763,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07763,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+07763,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+07764,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+07764,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+07764,2019,Rel,Rel,Rel,Rel,Rel,Rel
