tmc_code,year,obs AMP rel_unrel,obs MIDD rel_unrel,obs PMP rel_unrel,obs WE rel_unrel,obs rel_unrel,obs rel_unrel WD
110+04171,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04171,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04171,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04172,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04172,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04172,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04172,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04173,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04173,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04173,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04173,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04174,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04174,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04174,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04174,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04175,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04175,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04175,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04175,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04176,2017,Rel,Unrel,Unrel,Rel,Unrel,Unrel
110+04176,2018,Rel,Unrel,Unrel,Rel,Unrel,Unrel
110+04176,2019,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04176,2020,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04177,2017,Rel,Unrel,Rel,Rel,Unrel,Unrel
110+04177,2018,Rel,Unrel,Rel,Rel,Unrel,Unrel
110+04177,2019,Rel,Unrel,Rel,Rel,Unrel,Unrel
110+04177,2020,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04178,2017,Rel,Unrel,Rel,Rel,Unrel,Unrel
110+04178,2018,Rel,Unrel,Rel,Rel,Unrel,Unrel
110+04178,2019,Rel,Unrel,Rel,Rel,Unrel,Unrel
110+04178,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04179,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04179,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04179,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04179,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04180,2017,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04180,2018,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04180,2019,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04180,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04181,2017,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04181,2018,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04181,2019,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04181,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04182,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04182,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04182,2019,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04182,2020,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04183,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04183,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04183,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04183,2020,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04184,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04184,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04184,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04184,2020,Rel,Rel,Unrel,Rel,Unrel,Unrel
110+04185,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04185,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04185,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04185,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04186,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04186,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04186,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04186,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04187,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04187,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04187,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04187,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04188,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04188,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04188,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04188,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04189,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04189,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04189,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04189,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04190,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04190,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04190,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04190,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04191,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04191,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04191,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04191,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04192,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04192,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04192,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04192,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04193,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04193,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04193,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04193,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04194,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04194,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04194,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04194,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04227,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04227,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04227,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04227,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04228,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04228,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04228,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04229,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04229,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04229,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04229,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04230,2017,Rel,Rel,Rel,Rel,Rel,Rel
