Tmc,year,AMP EPDOR,MIDD EPDOR,PMP EPDOR,WE EPDOR
110+04145,2020,4.749754536,13.62973041,5.988820936,17.45018514
110+04146,2017,8.958808371,21.37161515,15.00330558,27.41611236
110+04146,2018,18.45730399,12.84455658,17.05411714,22.774802
110+04146,2019,5.612747413,35.18760878,34.43204663,54.83222473
110+04146,2020,10.68580757,7.987371318,37.23842034,21.80336495
110+04147,2017,8.958808371,21.37161515,15.00330558,27.41611236
110+04147,2018,18.45730399,12.84455658,17.05411714,22.774802
110+04147,2019,5.612747413,35.18760878,34.43204663,54.83222473
110+04147,2020,10.68580757,7.987371318,37.23842034,21.80336495
110+04148,2017,8.958808371,21.37161515,15.00330558,27.41611236
110+04148,2018,18.45730399,12.84455658,17.05411714,22.774802
110+04148,2019,5.612747413,35.18760878,34.43204663,54.83222473
110+04148,2020,10.68580757,7.987371318,37.23842034,21.80336495
110+04149,2017,24.47676408,30.40271749,12.49603219,39.67812282
110+04149,2018,31.30449301,35.55572045,23.31733841,35.04042016
110+04149,2019,56.94068275,20.22553663,10.17718085,34.13864464
110+04149,2020,12.62485726,15.07253367,53.33358068,41.22402371
110+04150,2017,24.47676408,30.40271749,12.49603219,39.67812282
110+04150,2018,31.30449301,35.55572045,23.31733841,35.04042016
110+04150,2019,56.94068275,20.22553663,10.17718085,34.13864464
110+04150,2020,12.62485726,15.07253367,53.33358068,41.22402371
110+04151,2017,24.47676408,30.40271749,12.49603219,39.67812282
110+04151,2018,31.30449301,35.55572045,23.31733841,35.04042016
110+04151,2019,56.94068275,20.22553663,10.17718085,34.13864464
110+04151,2020,12.62485726,15.07253367,53.33358068,41.22402371
110+04152,2017,24.47676408,30.40271749,12.49603219,39.67812282
110+04152,2018,31.30449301,35.55572045,23.31733841,35.04042016
110+04152,2019,56.94068275,20.22553663,10.17718085,34.13864464
110+04152,2020,12.62485726,15.07253367,53.33358068,41.22402371
110+04153,2017,36.10855699,19.53101368,19.81683339,13.14770677
110+04153,2018,50.30426937,31.82126131,5.24002806,31.44016836
110+04153,2019,22.10339109,33.63145282,17.24445598,19.62628692
110+04153,2020,7.621858996,49.16099053,5.049481585,45.63588074
110+04154,2017,36.10855699,19.53101368,19.81683339,13.14770677
110+04154,2018,50.30426937,31.82126131,5.24002806,31.44016836
110+04154,2019,22.10339109,33.63145282,17.24445598,19.62628692
110+04154,2020,7.621858996,49.16099053,5.049481585,45.63588074
110+04155,2017,36.10855699,19.53101368,19.81683339,13.14770677
110+04155,2018,50.30426937,31.82126131,5.24002806,31.44016836
110+04155,2019,22.10339109,33.63145282,17.24445598,19.62628692
110+04155,2020,7.621858996,49.16099053,5.049481585,45.63588074
110+04156,2017,36.10855699,19.53101368,19.81683339,13.14770677
110+04156,2018,50.30426937,31.82126131,5.24002806,31.44016836
110+04156,2019,22.10339109,33.63145282,17.24445598,19.62628692
110+04156,2020,7.621858996,49.16099053,5.049481585,45.63588074
110+04157,2017,36.10855699,19.53101368,19.81683339,13.14770677
110+04157,2018,50.30426937,31.82126131,5.24002806,31.44016836
110+04157,2019,22.10339109,33.63145282,17.24445598,19.62628692
110+04157,2020,7.621858996,49.16099053,5.049481585,45.63588074
110+04158,2017,36.10855699,19.53101368,19.81683339,13.14770677
110+04158,2018,50.30426937,31.82126131,5.24002806,31.44016836
110+04158,2019,22.10339109,33.63145282,17.24445598,19.62628692
