Year_Record,Travel_Time_Code,DIR_AADT
2020,110-05504,17489
2020,110-05506,14432
2020,110-05507,14559
2020,110-05508,14830
2020,110-05509,14830
2020,110-05510,14468
2020,110-05511,14430
2020,110-05512,14706
2020,110-05513,13884
2020,110-05514,14708
2020,110-05516,18804
2020,110-05517,18554
2020,110-05518,19866
2020,110-05519,20327
2020,110-05520,21844
2020,110-05521,20240
2020,110-05523,18496
2020,110-05524,18493
2020,110-05525,14064
2020,110-05526,20925
2020,110-05527,18127
2020,110-05528,4892
2020,110-05529,4917
2020,110-05530,4767
2020,110-05531,6007
2020,110-05532,7450
2020,110-05533,9895
2020,110-05534,9936
2020,110-05535,7103
2020,110-05536,5488
2020,110-05537,4509
2020,110-05538,4570
2020,110-05539,4506
2020,110-05540,5308
2020,110-05541,6948
2020,110-05543,26336
2020,110-05544,25501
2020,110-05545,28593
2020,110-05546,25222
2020,110-05601,11612
2020,110-05602,20110
2020,110-05604,44374
2020,110-05605,44374
2020,110-05606,44374
2020,110-05607,44374
2020,110-05608,44374
2020,110-05609,44374
2020,110-05610,44374
2020,110-05611,41386
2020,110-05612,39939
2020,110-05613,37172
2020,110-05614,32186
2020,110-05615,35502
2020,110-05616,37404
2020,110-05617,32404
2020,110-05618,32404
2020,110-05619,32404
2020,110-05620,32404
2020,110-05621,29162
2020,110-05622,29162
2020,110-05623,26891
2020,110-05624,21472
2020,110-05625,22624
2020,110-05626,21801
2020,110-05627,27391
2020,110-05628,33038
2020,110-05629,33038
2020,110-05630,13570
2020,110-05631,13570
2020,110-05632,13570
2020,110-05634,19880
2020,110-05635,19781
2020,110-05636,24816
2020,110-05637,24365
2020,110-05638,18448
2020,110-05639,19468
2020,110-05640,16644
2020,110-05641,26534
2020,110-05642,26630
2020,110-05643,26630
2020,110-05644,26630
2020,110-05645,26630
2020,110-05646,24183
2020,110-05647,24176
2020,110-05648,24176
2020,110-05649,28796
2020,110-05650,23573
2020,110-05651,20824
2020,110-05652,30346
2020,110-05653,19758
2020,110-05654,15289
2020,110-05655,16658
2020,110-05656,23314
2020,110-05657,25092
2020,110-05658,25092
2020,110-05659,25092
2020,110-05661,38988
2020,110-05662,38988
2020,110-05663,50852
2020,110-05664,25024
2020,110-05665,29738
2020,110-05666,27396
2020,110-05668,55484
2020,110-05669,55484
2020,110-05670,55646
2020,110-05671,55646
2020,110-05672,47272
2020,110-05673,47272
2020,110-05674,47272
2020,110-05675,47272
2020,110-05676,77706
2020,110-05677,69242
2020,110-05678,67825
2020,110-05679,44269
2020,110-05683,21294
2020,110-05684,19630
2020,110-05685,17007
2020,110-05686,16417
2020,110-05687,17810
2020,110-05688,8768
2020,110-05689,9674
2020,110-05690,11525
2020,110-05691,15074
2020,110-05692,20924
2020,110-05693,20924
2020,110-05694,20924
2020,110-05695,43052
2020,110-05696,43052
2020,110-05697,30860
2020,110-05698,30860
2020,110-05699,27626
2020,110-05700,27626
2020,110-05701,27626
2020,110-05702,27626
2020,110-05703,27626
2020,110-05704,27626
2020,110-05705,27626
2020,110-05706,27626
2020,110-05707,27629
2020,110-05708,28370
2020,110-05709,28370
2020,110-05710,29644
2020,110-05711,29644
2020,110-05712,29644
2020,110-05713,29644
2020,110-05714,29644
2020,110-05715,46373
2020,110-05716,37690
2020,110-05717,37486
2020,110-05720,30901
2020,110-05721,30901
2020,110-05722,27276
2020,110-05723,27276
2020,110-05724,25858
2020,110-05725,25268
2020,110-05726,25268
2020,110-05727,25268
2020,110-05728,25268
2020,110-05729,24286
2020,110-05730,18960
2020,110-05731,18960
2020,110-05732,18960
2020,110-05733,18960
2020,110-05734,18958
2020,110-05735,15719
2020,110-05737,18290
2020,110-05738,18278
2020,110-05739,18404
2020,110-05740,17740
2020,110-05741,28119
2020,110-05742,47883
2020,110-05743,34876
2020,110-05744,35464
2020,110-05745,35464
2020,110-05746,35464
2020,110-05747,35464
2020,110-06002,16786
2020,110-06003,30236
2020,110-06004,18566
2020,110-06005,12164
2020,110-06017,12184
2020,110-06018,12184
2020,110-06019,14546
2020,110-06020,21640
2020,110-06021,23486
2020,110-06022,29292
2020,110-06023,35074
2020,110-06024,25200
2020,110-06025,25080
2020,110-06026,29624
2020,110-06027,14030
2020,110-06028,5176
2020,110-06031,5428
2020,110-06032,5519
2020,110-06033,5294
2020,110-06034,5308
2020,110-06035,5622
2020,110-06036,8582
2020,110-06037,8658
2020,110-06038,8404
2020,110-06039,9806
2020,110-06040,11804
2020,110-06041,8454
2020,110-06042,8441
2020,110-06043,17126
2020,110-06044,16293
2020,110-06045,16293
2020,110-06046,4801
2020,110-06047,24738
2020,110-06048,24742
2020,110-06049,8778
2020,110-06050,16382
2020,110-06051,15350
2020,110-06052,6888
2020,110-06053,6888
2020,110-06054,6887
2020,110-06055,20166
2020,110-06056,19686
2020,110-06057,24788
2020,110-06058,37314
2020,110-06059,38120
2020,110-06061,9294
2020,110-06062,12943
2020,110-06063,9663
2020,110-06064,11078
2020,110-06065,5774
2020,110-06066,6408
2020,110-06067,5333
2020,110-06068,5552
2020,110-06082,6888
2020,110-06083,4938
2020,110-06084,34024
2020,110-06085,11382
2020,110-06086,6374
2020,110-06087,15298
2020,110-06088,12503
2020,110-06089,7987
2020,110-06090,11086
2020,110-06091,14349
2020,110-06092,11170
2020,110-06093,11230
2020,110-06094,17906
2020,110-06095,13874
2020,110-06096,10410
2020,110-06099,20167
2020,110-06100,19686
2020,110-06101,24788
2020,110-06102,19304
2020,110-06103,19360
2020,110-06104,16038
2020,110-06105,16880
2020,110-06106,20375
2020,110-06107,22356
2020,110-06108,20866
2020,110-06109,17242
2020,110-06110,16582
2020,110-06111,13585
2020,110-06112,12348
2020,110-06113,13715
2020,110-06114,15564
2020,110-06115,15596
2020,110-06116,16240
2020,110-06117,16406
2020,110-06118,16406
2020,110-06119,16406
2020,110-06120,15846
2020,110-06121,13238
2020,110-06122,9350
2020,110-06123,7793
2020,110-06124,6252
2020,110-06125,5216
2020,110-06126,5214
2020,110-06127,3184
2020,110-06128,3184
2020,110-06129,5752
2020,110-06130,2703
2020,110-06131,3612
2020,110-06132,2624
2020,110-06133,2653
2020,110-06134,2653
2020,110-06135,2653
2020,110-06136,2478
2020,110-06137,2688
2020,110-06138,3726
2020,110-06139,4022
2020,110-06140,4712
2020,110-06141,4808
2020,110-06142,8414
2020,110-06143,8414
2020,110-06145,7599
2020,110-06146,8347
2020,110-06149,24237
2020,110-06150,10177
2020,110-06153,18030
2020,110-06156,24975
2020,110-06161,16082
2020,110-06162,16082
2020,110-06364,9408
2020,110-06437,3596
2020,110-06438,5640
2020,110-06439,5640
2020,110-06440,6124
2020,110-06441,4354
2020,110-06442,5446
2020,110-06443,4874
2020,110-06444,2598
2020,110-06445,2598
2020,110-06446,2395
2020,110-06447,4176
2020,110-06448,3256
2020,110-06449,2796
2020,110-06450,2796
2020,110-06451,3456
2020,110-06452,3525
2020,110-06453,3874
2020,110-06454,4853
2020,110-06455,6754
2020,110-06456,8688
2020,110-06457,11003
2020,110-06458,9944
2020,110-06459,10864
2020,110-06460,12087
2020,110-06461,14294
2020,110-06462,12940
2020,110-06463,14108
2020,110-06464,12928
2020,110-06465,17156
2020,110-06466,12850
2020,110-06467,11266
2020,110-06468,5036
2020,110-06469,4452
2020,110-06470,36346
2020,110-06471,23014
2020,110-06472,23014
2020,110-06473,23014
2020,110-06474,20336
2020,110-06475,18368
2020,110-06476,18368
2020,110-06477,10268
2020,110-06478,10138
2020,110-06479,8750
2020,110-06480,6202
2020,110-06481,8912
2020,110-06482,17460
2020,110-06483,17460
2020,110-06484,21648
2020,110-06485,25864
2020,110-06486,25885
2020,110-06487,26414
2020,110-06488,28354
2020,110-06489,28354
2020,110-06490,22457
2020,110-06491,13381
2020,110-06492,9500
2020,110-06499,7316
2020,110-06500,7602
2020,110-06501,4554
2020,110-06502,7097
2020,110-06503,5727
2020,110-06506,15050
2020,110-06507,15050
2020,110-06508,13684
2020,110-06509,13527
2020,110-06510,16496
2020,110-06511,11698
2020,110-06512,10440
2020,110-06513,11682
2020,110-06514,13194
2020,110-06515,10302
2020,110-06516,16828
2020,110-06517,12221
2020,110-06518,8886
2020,110-06520,10144
2020,110-06521,18366
2020,110-06522,18366
2020,110-06523,17488
2020,110-06524,12459
2020,110-06525,9655
2020,110-06526,11670
2020,110-06527,10134
2020,110-06534,24094
2020,110-06535,34418
2020,110-06551,10064
2020,110-06552,5934
2020,110-06553,5934
2020,110-06554,4750
2020,110-06555,6044
2020,110-06557,2800
2020,110-06558,3972
2020,110-06559,3410
2020,110-06560,6924
2020,110-06561,3239
2020,110-06562,4065
2020,110-06563,3798
2020,110-06564,3793
2020,110-06565,2366
2020,110-06566,1505
2020,110-06567,1294
2020,110-06568,1293
2020,110-06570,8462
2020,110-06571,1095
2020,110-06572,8014
2020,110-06573,2341
2020,110-06574,6926
2020,110-06575,2343
2020,110-06576,6820
2020,110-06577,2343
2020,110-06578,7940
2020,110-06579,2425
2020,110-06581,2979
2020,110-06582,2979
2020,110-06583,2979
2020,110-06584,3696
2020,110-06585,8159
2020,110-06588,7296
2020,110-06590,7296
2020,110-06592,7296
2020,110-06594,6592
2020,110-06596,5709
2020,110-06598,6240
2020,110-06600,6240
2020,110-06602,7544
2020,110-06617,6326
2020,110-06618,9035
2020,110-06619,11257
2020,110-06620,7884
2020,110-06621,8440
2020,110-06622,3475
2020,110-06623,8036
2020,110-06624,26650
2020,110-06625,9760
2020,110-06626,26650
2020,110-06627,8256
2020,110-06628,26650
2020,110-06629,6390
2020,110-06630,26650
2020,110-06631,6254
2020,110-06632,11600
2020,110-06633,6932
2020,110-06634,5855
2020,110-06636,6442
2020,110-06637,8943
2020,110-06638,4198
2020,110-06641,5694
2020,110-06685,20382
2020,110-06686,20388
2020,110-06687,23807
2020,110-06688,27002
2020,110-06689,27002
2020,110-06690,18700
2020,110-06691,26344
2020,110-06692,15795
2020,110-06693,14663
2020,110-06694,10591
2020,110-06695,10591
2020,110-06696,4270
2020,110-06715,13838
2020,110-06716,13838
2020,110-06717,14172
2020,110-06718,11438
2020,110-06719,13434
2020,110-06720,13687
2020,110-06721,13343
2020,110-06765,21694
2020,110-06766,31226
2020,110-06783,9288
2020,110-06784,11418
2020,110-06785,10769
2020,110-06786,10769
2020,110-06787,10769
2020,110-06788,15515
2020,110-06789,15780
2020,110-06790,15243
2020,110-06791,11635
2020,110-06792,13294
2020,110-06793,17318
2020,110-06794,16270
2020,110-06795,16726
2020,110-06796,16726
2020,110-06797,20773
2020,110-06798,12816
2020,110-06799,12816
2020,110-06800,8602
2020,110-06801,6723
2020,110-06802,5344
2020,110-06803,5461
2020,110-06888,21001
2020,110-06890,21001
2020,110-06891,21001
2020,110-06892,24519
2020,110-06893,24282
2020,110-06894,27114
2020,110-06895,7268
2020,110-06896,17901
2020,110-06897,7899
2020,110-06898,6389
2020,110-06899,6609
2020,110-06900,8110
2020,110-06901,35902
2020,110-06902,12928
2020,110-06903,9931
2020,110-06939,13574
2020,110-06940,15512
2020,110-06953,8392
2020,110-06954,6584
2020,110-06955,6584
2020,110-06956,6584
2020,110-06994,11554
2020,110-06995,14694
2020,110-06996,16820
2020,110-07012,12348
2020,110-07013,13040
2020,110-07014,14180
2020,110-07021,4236
2020,110-07022,26426
2020,110-07023,22105
2020,110-07024,39844
2020,110-07025,7044
2020,110-07035,7776
2020,110-07041,7298
2020,110-07056,8172
2020,110-07057,4576
2020,110-07058,7535
2020,110-07062,8890
2020,110-07065,16139
2020,110-07066,5803
2020,110-07067,11277
2020,110-07068,4518
2020,110-07076,9278
2020,110-07077,3410
2020,110-07078,5080
2020,110-07079,6581
2020,110-07080,6900
2020,110-07081,4106
2020,110-07091,7832
2020,110-07092,5691
2020,110-07093,2002
2020,110-07095,13719
2020,110-07096,6422
2020,110-07097,6684
2020,110-07098,6668
2020,110-07099,4769
2020,110-07104,27053
2020,110-07105,9044
2020,110-07106,8438
2020,110-07107,8713
2020,110-07108,10232
2020,110-07109,6462
2020,110-07111,6507
2020,110-07130,454
2020,110-07131,1326
2020,110-07136,7651
2020,110-07137,9029
2020,110-07138,6400
2020,110-07139,6416
2020,110-07140,6472
2020,110-07141,6586
2020,110-07142,4855
2020,110-07143,5310
2020,110-07144,4868
2020,110-07147,2374
2020,110-07148,3055
2020,110-07149,7894
2020,110-07150,8086
2020,110-07151,8030
2020,110-07154,2796
2020,110-07155,3394
2020,110-07156,3744
2020,110-07157,6746
2020,110-07158,5323
2020,110-07159,6274
2020,110-07160,7822
2020,110-07161,9096
2020,110-07162,15232
2020,110-07163,13004
2020,110-07184,41046
2020,110-07195,7651
2020,110-07197,1907
2020,110-07198,2565
2020,110-07199,11247
2020,110-07202,8738
2020,110-07204,7753
2020,110-07210,6403
2020,110-07218,9020
2020,110-07221,5505
2020,110-07222,5352
2020,110-07223,4086
2020,110-07224,3598
2020,110-07225,5232
2020,110-07226,4422
2020,110-07227,4456
2020,110-07228,3520
2020,110-07229,6723
2020,110-07230,3710
2020,110-07231,3575
2020,110-07232,5887
2020,110-07233,9910
2020,110-07234,10022
2020,110-07257,14083
2020,110-07258,15804
2020,110-07262,11414
2020,110-07263,3298
2020,110-07264,2575
2020,110-07265,8892
2020,110-07267,20364
2020,110-07268,10918
2020,110-07269,22344
2020,110-07272,15743
2020,110-07273,5456
2020,110-07279,16139
2020,110-07281,6881
2020,110-07282,12628
2020,110-07284,5464
2020,110-07286,6856
2020,110-07287,4110
2020,110-07305,5716
2020,110-07306,4843
2020,110-07307,6214
2020,110-07308,7490
2020,110-07309,7490
2020,110-07310,7260
2020,110-07311,6693
2020,110-07312,6016
2020,110-07313,5337
2020,110-07314,5337
2020,110-07322,3236
2020,110-07323,4696
2020,110-07324,7088
2020,110-07353,26698
2020,110-07354,24245
2020,110-07429,19047
2020,110-07430,21630
2020,110-07433,7818
2020,110-07434,7098
2020,110-07435,7888
2020,110-07436,8980
