tmc,year,AMP Vol,MIDD Vol,PMP Vol,WE Vol,max Vol,max WD Vol
110N04681,2019,13.3380761,17.67799913,19.23840274,16.88385072,16.88385072,19.23840274
110N04681,2020,11.4298052,15.14881793,16.48597549,14.46828788,14.46828788,16.48597549
110N04682,2017,12.04669643,15.71198052,17.22062093,15.09579661,15.09579661,17.22062093
110N04682,2018,11.9285642,15.55790581,17.0517522,14.94776432,14.94776432,17.0517522
110N04682,2019,12.01739591,15.67376514,17.17873616,15.05907994,15.05907994,17.17873616
110N04682,2020,10.27052726,13.39540058,14.68160651,12.87006704,12.87006704,14.68160651
110N04683,2017,19.5735642,20.25178085,18.95504684,19.68750924,19.68750924,20.25178085
110N04683,2018,19.68646189,20.3685904,19.064377,19.80106414,19.80106414,20.3685904
110N04683,2019,20.02168118,20.71542492,19.38900349,20.13823486,20.13823486,20.71542492
110N04683,2020,17.86099313,18.47986983,17.29659238,17.96496864,17.96496864,18.47986983
110N04684,2017,17.78051734,18.39660558,17.21865959,17.88402438,17.88402438,18.39660558
110N04684,2018,17.8829937,18.50263272,17.31789774,17.98709729,17.98709729,18.50263272
110N04684,2019,18.4990098,19.13999355,17.91444796,18.60669945,18.60669945,19.13999355
110N04684,2020,18.88286194,19.53714602,18.28617051,18.99278614,18.99278614,19.53714602
110N04686,2017,11.4892916,17.80435703,23.32780507,17.57818064,17.57818064,23.32780507
110N04686,2018,11.65054903,18.05424928,23.65522141,17.82489839,17.82489839,23.65522141
110N04686,2019,10.83665919,16.79300657,22.0027032,16.57967778,16.57967778,22.0027032
110N04686,2020,9.529393638,14.7672052,19.34843721,14.57961104,14.57961104,19.34843721
110N04687,2017,10.48173279,16.2429956,21.28206226,16.03665384,16.03665384,21.28206226
110N04687,2018,10.62898523,16.47118504,21.58104294,16.26194449,16.26194449,21.58104294
110N04687,2019,10.1852272,15.78351632,20.68003867,15.58301153,15.58301153,20.68003867
110N04687,2020,9.018411665,13.97536304,18.31094176,13.79782799,13.79782799,18.31094176
110N04688,2017,11.20859394,17.21874038,20.2783658,16.37573438,16.37573438,20.2783658
110N04688,2018,11.36583875,17.46030125,20.56285,16.60546875,16.60546875,20.56285
110N04688,2019,11.76082772,18.06708677,21.2774562,17.18254688,17.18254688,21.2774562
110N04688,2020,10.41361087,15.99748042,18.8400982,15.21426563,15.21426563,18.8400982
110N04689,2017,11.59764179,17.92998338,22.90116167,17.54107959,17.54107959,22.90116167
110N04689,2018,11.76033579,18.18150872,23.22242367,17.7871493,17.7871493,23.22242367
110N04689,2019,11.47765497,17.74448345,22.66423095,17.35960317,17.35960317,22.66423095
110N04689,2020,10.16268071,15.71152995,20.06763083,15.3707447,15.3707447,20.06763083
110N04691,2017,13.00236115,19.0575967,23.11493419,18.48676869,18.48676869,23.11493419
110N04691,2018,13.18481768,19.32502373,23.43929609,18.74618554,18.74618554,23.43929609
110N04691,2019,15.84825863,23.2288365,28.1742255,22.53306825,22.53306825,28.1742255
110N04691,2020,14.03302836,20.56824848,24.94720176,19.95217224,19.95217224,24.94720176
110N04692,2017,13.00236115,19.0575967,23.11493419,18.48676869,18.48676869,23.11493419
110N04692,2018,13.18481768,19.32502373,23.43929609,18.74618554,18.74618554,23.43929609
110N04692,2019,15.84825863,23.2288365,28.1742255,22.53306825,22.53306825,28.1742255
110N04692,2020,14.03302836,20.56824848,24.94720176,19.95217224,19.95217224,24.94720176
110N04693,2017,24.15617452,22.2613054,25.658015,23.77318504,23.77318504,25.658015
110N04693,2018,24.4955634,22.5740718,26.0185044,24.107193,24.107193,26.0185044
110N04693,2019,23.56115817,21.71296358,25.02600523,23.18760251,23.18760251,25.02600523
110N04693,2020,20.86217892,19.22569883,22.15922472,20.53141483,20.53141483,22.15922472
110N04694,2017,23.12834716,25.83857527,25.68751523,25.02106437,25.02106437,25.83857527
110N04694,2018,23.06848616,25.77169963,25.62103055,24.95630461,24.95630461,25.77169963
110N04694,2019,23.00811353,25.7042524,25.55397765,24.89099136,24.89099136,25.7042524
110N04694,2020,20.35836881,22.74400505,22.6110368,22.02440376,22.02440376,22.74400505
110N04698,2017,32.82214533,21.59728362,22.27473113,24.99794339,24.99794339,32.82214533
110N04698,2018,32.73741953,21.54153323,22.217232,24.93341467,24.93341467,32.73741953
110N04698,2019,35.25306343,23.19685083,23.92447238,26.84937487,26.84937487,35.25306343
110N04698,2020,31.21473043,20.53958933,21.18385988,23.77370694,23.77370694,31.21473043
110N04699,2017,32.82214533,21.59728362,22.27473113,24.99794339,24.99794339,32.82214533
110N04699,2018,32.73741953,21.54153323,22.217232,24.93341467,24.93341467,32.73741953
110N04699,2019,35.25306343,23.19685083,23.92447238,26.84937487,26.84937487,35.25306343
110N04699,2020,31.21473043,20.53958933,21.18385988,23.77370694,23.77370694,31.21473043
110N04700,2017,42.92264713,29.90353125,31.77231838,34.15721782,34.15721782,42.92264713
110N04700,2018,42.81241678,29.8267355,31.69072335,34.0694981,34.0694981,42.81241678
110N04700,2019,46.39414863,32.32207158,34.34200263,36.91978818,36.91978818,46.39414863
110N04700,2020,41.07968603,28.61956932,30.4081167,32.6906162,32.6906162,41.07968603
110N04701,2017,21.81507706,11.79889413,13.71587124,15.20836843,15.20836843,21.81507706
110N04701,2018,21.758523,11.76830632,13.6803138,15.16894179,15.16894179,21.758523
110N04701,2019,21.702839,11.73818909,13.6453034,15.13012173,15.13012173,21.702839
110N04701,2020,22.57029131,12.20735902,14.19069979,15.73486561,15.73486561,22.57029131
110N04702,2017,70.38442788,56.28291448,59.7737088,61.30928811,61.30928811,70.38442788
110N04702,2018,69.7549341,55.77953973,59.2391136,60.76095923,60.76095923,69.7549341
110N04702,2019,69.12544035,55.27616497,58.7045184,60.21263034,60.21263034,69.12544035
110N04702,2020,68.496622,54.77333032,58.1704968,59.66488979,59.66488979,68.496622
110N04703,2017,65.4513748,50.65935747,52.56143848,55.42909984,55.42909984,65.4513748
110N04703,2018,64.86653075,50.20668823,52.09177313,54.93381036,54.93381036,64.86653075
110N04703,2019,64.28099543,49.75348395,51.6215526,54.43793541,54.43793541,64.28099543
110N04703,2020,63.6961514,49.30081473,51.15188725,53.94264592,53.94264592,63.6961514
110N04704,2017,59.5341756,48.33780907,49.0892833,51.75147786,51.75147786,59.5341756
110N04704,2018,63.29907415,51.39465743,52.19365438,55.0242042,55.0242042,63.29907415
110N04704,2019,62.74294925,50.94312083,51.73509805,54.54077959,54.54077959,62.74294925
110N04704,2020,54.0245189,43.8643326,44.54626083,46.96207961,46.96207961,54.0245189
110N04705,2017,48.9509938,39.79804903,43.15823515,43.37322929,43.37322929,48.9509938
110N04705,2018,51.26811738,41.68191268,45.20115513,45.42632615,45.42632615,51.26811738
110N04705,2019,51.4931979,41.86490723,45.3996001,45.62575967,45.62575967,51.4931979
110N04705,2020,43.83778068,35.6409137,38.650109,38.84264578,38.84264578,43.83778068
110N04706,2017,44.19077075,42.65463348,46.0377161,44.06012489,44.06012489,46.0377161
110N04706,2018,46.28256643,44.6737152,48.216938,46.14573635,46.14573635,48.216938
110N04706,2019,46.48575905,44.86984457,48.42862303,46.34832827,46.34832827,48.42862303
110N04706,2020,39.57479035,38.19911145,41.22881163,39.45779118,39.45779118,41.22881163
110N04707,2017,42.8450503,37.12650062,38.22511623,39.07426213,39.07426213,42.8450503
110N04707,2018,41.58330373,36.03315997,37.09942235,37.92356172,37.92356172,41.58330373
110N04707,2019,41.76575725,36.19126132,37.26220213,38.08995753,38.08995753,41.76575725
110N04707,2020,37.98655455,32.91647065,33.89050665,34.64336205,34.64336205,37.98655455
110N04708,2017,20.58188094,21.80113372,23.04329328,21.80767851,21.80767851,23.04329328
110N04708,2018,21.85299074,23.14754297,24.46641666,23.15449196,23.15449196,24.46641666
110N04708,2019,21.9489759,23.2492142,24.5738808,23.25619371,23.25619371,24.5738808
110N04708,2020,18.18058752,19.25758977,20.35482624,19.26337097,19.26337097,20.35482624
110N04709,2017,18.34323151,15.68079493,16.32311064,16.62500987,16.62500987,18.34323151
110N04709,2018,18.9264331,16.17934747,16.84208485,17.15358261,17.15358261,18.9264331
110N04709,2019,19.00928883,16.25017707,16.91581577,17.2286772,17.2286772,19.00928883
110N04709,2020,16.08878483,13.75357093,14.31694382,14.58173859,14.58173859,16.08878483
110N04710,2017,9.376564243,9.654540238,9.909233275,9.647887964,9.647887964,9.909233275
110N04710,2018,7.457040955,7.678111097,7.88066465,7.672820643,7.672820643,7.88066465
110N04710,2019,7.489611448,7.711647168,7.915085425,7.706333607,7.706333607,7.915085425
110N04710,2020,6.248195135,6.433428043,6.60314605,6.428995214,6.428995214,6.60314605
110N04728,2017,38.57138063,33.42311218,37.6481899,36.10121109,36.10121109,38.57138063
110N04728,2018,33.8621393,29.34243117,33.05166243,31.69355671,31.69355671,33.8621393
110N04728,2019,34.70709585,30.07460815,33.87639525,32.48440095,32.48440095,34.70709585
110N04728,2020,26.256898,22.75229025,25.62844955,24.57536654,24.57536654,26.256898
110N04729,2017,41.7090255,33.36542292,33.2052974,35.70355923,35.70355923,41.7090255
110N04729,2018,38.81801838,31.05274182,30.9037152,33.22881322,33.22881322,38.81801838
110N04729,2019,39.78632825,31.82734798,31.67460393,34.05770118,34.05770118,39.78632825
110N04729,2020,30.60792013,24.48501703,24.36750988,26.20084444,26.20084444,30.60792013
110N04730,2017,27.56612375,24.61739052,26.23055743,25.92079056,25.92079056,27.56612375
110N04730,2018,27.7930291,24.82002393,26.4464693,26.13415266,26.13415266,27.7930291
110N04730,2019,28.48652855,25.43934012,27.10636903,26.78625936,26.78625936,28.48652855
110N04730,2020,21.55153406,19.2461782,20.5073719,20.26519236,20.26519236,21.55153406
110N04731,2017,31.71119243,27.66966975,32.53284115,30.21386806,30.21386806,32.53284115
110N04731,2018,26.39738713,23.0330974,27.08135318,25.15096754,25.15096754,27.08135318
110N04731,2019,27.0558702,23.60765823,27.7568978,25.77835867,25.77835867,27.7568978
110N04731,2020,21.01339465,18.33528308,21.55785947,20.02119393,20.02119393,21.55785947
110N04732,2017,27.39569788,25.28067512,29.47202895,27.082497,27.082497,29.47202895
110N04732,2018,24.22441385,22.35422288,26.06039203,23.94746863,23.94746863,26.06039203
