tmc_code,year,AMP LOTTR,MIDD LOTTR,PMP LOTTR,WE LOTTR,max LOTTR,max WD LOTTR,obs AMP rel_unrel,obs MIDD rel_unrel,obs PMP rel_unrel,obs WE rel_unrel,obs rel_unrel,obs rel_unrel WD
110N09363,2019,1.414212548,1.384533673,1.286794131,1.196403873,1.414212548,1.414212548,Rel,Rel,Rel,Rel,Rel,Rel
110N09363,2020,1.376010487,1.362510675,1.210681818,1.124680752,1.376010487,1.376010487,Rel,Rel,Rel,Rel,Rel,Rel
110N09364,2019,2.010869565,2,1.869158879,3.00877193,3.00877193,2.010869565,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09364,2020,1.786516854,2.04,2,2.858333333,2.858333333,2.04,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09367,2017,1.172473868,1.172473868,1.173837209,1.172473868,1.173837209,1.173837209,Rel,Rel,Rel,Rel,Rel,Rel
110N09373,2017,1.199,1.185436893,1.217749314,1.218487395,1.218487395,1.217749314,Rel,Rel,Rel,Rel,Rel,Rel
110N09373,2018,1.19775739,1.1842871,1.21786691,1.236096537,1.236096537,1.21786691,Rel,Rel,Rel,Rel,Rel,Rel
110N09373,2019,1.225501771,1.218554354,1.249857712,1.259354839,1.259354839,1.249857712,Rel,Rel,Rel,Rel,Rel,Rel
110N09373,2020,1.279902854,1.25462963,1.257006559,1.259354839,1.279902854,1.279902854,Rel,Rel,Rel,Rel,Rel,Rel
110N09374,2017,1.679135495,1.528877888,1.549034749,1.7504363,1.7504363,1.679135495,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09374,2018,1.599681021,1.53038674,1.636499626,2.017456359,2.017456359,1.636499626,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09374,2019,1.604030824,1.503981797,1.657848325,2.030322173,2.030322173,1.657848325,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09374,2020,1.500299222,1.500299222,1.507966858,1.773670558,1.773670558,1.507966858,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110N09378,2017,1.39261745,1.374340949,1.374340949,1.26487524,1.39261745,1.39261745,Rel,Rel,Rel,Rel,Rel,Rel
110N09378,2018,1.315369261,1.211397059,1.333973129,1.284482759,1.333973129,1.333973129,Rel,Rel,Rel,Rel,Rel,Rel
110N09379,2017,1.374193548,1.467966574,1.362116992,1.747692308,1.747692308,1.467966574,Rel,Rel,Rel,Unrel,Unrel,Rel
