Tmc,year,AMP LIIR,MIDD LIIR,PMP LIIR,WE LIIR
110+04192,2020,0,0.679569117,0.226523039,0.566307597
110+04193,2017,0,0.10377441,0.10377441,0.20754882
110+04193,2018,0.20754882,0.311323231,0.415097641,0.311323231
110+04193,2019,0,0.10377441,0.830195282,0.518872051
110+04193,2020,0.20754882,0.518872051,0.20754882,0.726420871
110+04194,2017,0,0.10377441,0.10377441,0.20754882
110+04194,2018,0.20754882,0.311323231,0.415097641,0.311323231
110+04194,2019,0,0.10377441,0.830195282,0.518872051
110+04194,2020,0.20754882,0.518872051,0.20754882,0.726420871
110+04603,2017,10.14967421,4.185432664,2.511259599,3.034438682
110+04603,2018,8.580136962,4.185432664,1.778808882,2.197352149
110+04603,2019,8.789408595,3.662253581,2.511259599,3.452981948
110+04603,2020,4.813247564,3.139074498,2.929802865,1.883444699
110+04604,2017,10.14967421,4.185432664,2.511259599,3.034438682
110+04604,2018,8.580136962,4.185432664,1.778808882,2.197352149
110+04604,2019,8.789408595,3.662253581,2.511259599,3.452981948
110+04604,2020,4.813247564,3.139074498,2.929802865,1.883444699
110+04605,2017,10.14967421,4.185432664,2.511259599,3.034438682
110+04605,2018,8.580136962,4.185432664,1.778808882,2.197352149
110+04605,2019,8.789408595,3.662253581,2.511259599,3.452981948
110+04605,2020,4.813247564,3.139074498,2.929802865,1.883444699
110+04606,2017,10.14967421,4.185432664,2.511259599,3.034438682
110+04606,2018,8.580136962,4.185432664,1.778808882,2.197352149
110+04606,2019,8.789408595,3.662253581,2.511259599,3.452981948
110+04606,2020,4.813247564,3.139074498,2.929802865,1.883444699
110+04607,2017,10.14967421,4.185432664,2.511259599,3.034438682
110+04607,2018,8.580136962,4.185432664,1.778808882,2.197352149
110+04607,2019,8.789408595,3.662253581,2.511259599,3.452981948
110+04607,2020,4.813247564,3.139074498,2.929802865,1.883444699
110+04608,2017,10.14967421,4.185432664,2.511259599,3.034438682
110+04608,2018,8.580136962,4.185432664,1.778808882,2.197352149
110+04608,2019,8.789408595,3.662253581,2.511259599,3.452981948
110+04608,2020,4.813247564,3.139074498,2.929802865,1.883444699
110+04609,2017,9.316315744,9.316315744,9.155689611,5.94316694
110+04609,2018,5.621914673,8.834437344,8.834437344,6.425045341
110+04609,2019,4.979410139,11.24382935,7.549428275,8.031306676
110+04609,2020,2.891270403,5.782540807,4.658157872,2.73064427
110+04610,2017,9.316315744,9.316315744,9.155689611,5.94316694
110+04610,2018,5.621914673,8.834437344,8.834437344,6.425045341
110+04610,2019,4.979410139,11.24382935,7.549428275,8.031306676
110+04610,2020,2.891270403,5.782540807,4.658157872,2.73064427
110+04611,2017,9.316315744,9.316315744,9.155689611,5.94316694
110+04611,2018,5.621914673,8.834437344,8.834437344,6.425045341
110+04611,2019,4.979410139,11.24382935,7.549428275,8.031306676
110+04611,2020,2.891270403,5.782540807,4.658157872,2.73064427
110+04612,2017,9.316315744,9.316315744,9.155689611,5.94316694
110+04612,2018,5.621914673,8.834437344,8.834437344,6.425045341
110+04612,2019,4.979410139,11.24382935,7.549428275,8.031306676
110+04612,2020,2.891270403,5.782540807,4.658157872,2.73064427
110+04613,2017,9.316315744,9.316315744,9.155689611,5.94316694
110+04613,2018,5.621914673,8.834437344,8.834437344,6.425045341
110+04613,2019,4.979410139,11.24382935,7.549428275,8.031306676
110+04613,2020,2.891270403,5.782540807,4.658157872,2.73064427
110+04614,2017,9.316315744,9.316315744,9.155689611,5.94316694
110+04614,2018,5.621914673,8.834437344,8.834437344,6.425045341
110+04614,2019,4.979410139,11.24382935,7.549428275,8.031306676
110+04614,2020,2.891270403,5.782540807,4.658157872,2.73064427
110+04645,2017,2.530300839,1.946385261,2.530300839,2.141023787
110+04645,2018,1.557108209,1.946385261,1.751746735,1.362469683
110+04645,2019,2.530300839,2.141023787,3.50349347,1.362469683
110+04645,2020,1.946385261,2.530300839,2.724939365,2.141023787
110+04646,2017,2.530300839,1.946385261,2.530300839,2.141023787
110+04646,2018,1.557108209,1.946385261,1.751746735,1.362469683
110+04646,2019,2.530300839,2.141023787,3.50349347,1.362469683
110+04646,2020,1.946385261,2.530300839,2.724939365,2.141023787
110+04647,2017,2.530300839,1.946385261,2.530300839,2.141023787
110+04647,2018,1.557108209,1.946385261,1.751746735,1.362469683
110+04647,2019,2.530300839,2.141023787,3.50349347,1.362469683
110+04647,2020,1.946385261,2.530300839,2.724939365,2.141023787
110+04648,2017,2.530300839,1.946385261,2.530300839,2.141023787
110+04648,2018,1.557108209,1.946385261,1.751746735,1.362469683
110+04648,2019,2.530300839,2.141023787,3.50349347,1.362469683
110+04648,2020,1.946385261,2.530300839,2.724939365,2.141023787
110+04670,2017,7.751616074,6.090555486,7.290210355,6.459680061
110+04670,2018,9.781801236,7.65933493,6.828804636,5.813712055
110+04670,2019,8.674427511,9.597238948,9.412676661,8.028459505
110+04670,2020,5.813712055,8.305302936,5.260025193,5.629149768
110+04681,2017,0.53333669,0.320002014,0.53333669,0
110+04681,2018,0.320002014,1.06667338,0.640004028,0.320002014
110+04681,2019,1.280008056,1.173340718,0.320002014,0.320002014
110+04681,2020,0.213334676,0.213334676,0.426669352,0.213334676
110+04682,2017,0.088740412,0.532442474,0.532442474,0.088740412
110+04682,2018,0.266221237,0.354961649,0.532442474,0.621182887
110+04682,2019,0.443702062,0.532442474,0.532442474,0.798663711
110+04682,2020,0.798663711,0.621182887,0.798663711,0.709923299
110+04683,2017,0.088740412,0.532442474,0.532442474,0.088740412
110+04683,2018,0.266221237,0.354961649,0.532442474,0.621182887
110+04683,2019,0.443702062,0.532442474,0.532442474,0.798663711
